slug,score,eligible,orb_minutes,setup_window_minutes,confirmation,trend_filter,extension_buffer_atr,touch_tolerance_atr,first_touch_only,stop_mode,stop_buffer_atr,atr_stop_multiple,target_mode,vwap_slope_bars,training_initial_balance,training_final_balance,training_return_pct,training_profit_factor,training_win_rate_pct,training_max_drawdown_pct,training_trades,training_wins,training_losses,validation_initial_balance,validation_final_balance,validation_return_pct,validation_profit_factor,validation_win_rate_pct,validation_max_drawdown_pct,validation_trades,validation_wins,validation_losses,locked_initial_balance,locked_final_balance,locked_return_pct,locked_profit_factor,locked_win_rate_pct,locked_max_drawdown_pct,locked_trades,locked_wins,locked_losses
orb15-side_only-ema-eb0-tt001-ft1-atr-rr20,4.050211375289288,True,15,90,side_only,ema,0.0,0.01,True,atr,0.01,0.25,rr20,3,10000.0,10706.361534196925,7.063615341969243,1.0310815657047532,39.130434782608695,14.87775575224195,345,135,210,10000.0,13417.983576130277,34.17983576130277,1.442584840665865,47.61904761904761,6.0164043767003275,126,60,66,10000.0,10043.81676740148,0.43816767401481105,1.0075218325280249,38.38383838383838,10.150366657709382,99,38,61
orb15-side_only-ema-eb0-tt001-ft0-atr-rr20,3.5347142876914823,True,15,90,side_only,ema,0.0,0.01,False,atr,0.01,0.25,rr20,3,10000.0,12393.843419536117,23.938434195361168,1.0689793625827289,40.041928721174,19.716039650987973,477,191,286,10000.0,11623.245573446924,16.23245573446923,1.148059234428765,41.47727272727273,8.241862423062493,176,73,103,10000.0,9489.94843539247,-5.100515646075287,0.9362033396438582,37.22627737226277,12.497602377949308,137,51,86
orb15-directional-none-eb0-tt001-ft0-atr-rr20,3.178668704153,False,15,90,directional,none,0.0,0.01,False,atr,0.01,0.25,rr20,3,10000.0,11502.596136581498,15.025961365814977,1.0478667293690525,39.02439024390244,17.708788035784767,451,176,275,10000.0,10289.771964332507,2.8977196433250807,1.0251916438194904,37.142857142857146,16.049597136700903,175,65,110,10000.0,9426.559197155637,-5.734408028443627,0.9278382701197329,38.970588235294116,11.730256265674448,136,53,83
orb15-directional-vwap_slope-eb0-tt001-ft0-atr-rr20,3.0920724237639563,False,15,90,directional,vwap_slope,0.0,0.01,False,atr,0.01,0.25,rr20,3,10000.0,11084.374019620105,10.843740196201047,1.0369493692133362,38.80952380952381,16.428020773086633,420,163,257,10000.0,10157.13531944393,1.5713531944393067,1.0142198836938143,36.96969696969697,17.26273988410163,165,61,104,10000.0,9341.44406352199,-6.585559364780091,0.9108638557414935,37.903225806451616,13.116021627491456,124,47,77
orb30-side_only-ema-eb0-tt003-ft1-atr-rr20,3.010008557760764,False,30,90,side_only,ema,0.0,0.03,True,atr,0.01,0.25,rr20,3,10000.0,10368.971928906181,3.6897192890618102,1.0144000437755842,39.46731234866828,17.478520885945763,413,163,250,10000.0,13575.078273263536,35.750782732635365,1.4252202085813197,46.808510638297875,8.452377794185109,141,66,75,10000.0,9624.879711907048,-3.7512028809295273,0.9469065485609016,36.75213675213676,9.715665659143934,117,43,74
orb30-side_only-ema-eb002-tt003-ft1-atr-rr20,2.935754217551584,False,30,90,side_only,ema,0.02,0.03,True,atr,0.01,0.25,rr20,3,10000.0,10209.755242295489,2.0975524229548848,1.0088103596913789,39.64194373401534,17.37795625280085,391,155,236,10000.0,13585.68994465447,35.85689944654471,1.43550487929601,46.808510638297875,8.588936149948855,141,66,75,10000.0,9664.453948457609,-3.3554605154239137,0.9487757936652769,36.607142857142854,9.338333255878126,112,41,71
orb30-side_only-none-eb002-tt003-ft1-atr-rr20,2.0057671049882453,False,30,90,side_only,none,0.02,0.03,True,atr,0.01,0.25,rr20,3,10000.0,9840.341874727981,-1.5965812527201861,0.9942902857915418,38.70967741935484,19.62894461455694,465,180,285,10000.0,12994.658702679659,29.94658702679658,1.2811615486001662,44.50867052023121,9.031619478299973,173,77,96,10000.0,9023.736357842998,-9.762636421570026,0.871203170764051,34.883720930232556,12.73909967914001,129,45,84
orb30-side_only-vwap_slope-eb002-tt003-ft1-atr-rr20,2.0057671049882453,False,30,90,side_only,vwap_slope,0.02,0.03,True,atr,0.01,0.25,rr20,3,10000.0,9840.341874727981,-1.5965812527201861,0.9942902857915418,38.70967741935484,19.62894461455694,465,180,285,10000.0,13109.476387454692,31.094763874546928,1.2872846585139215,44.57142857142857,9.031619478299973,175,78,97,10000.0,9023.736357842998,-9.762636421570026,0.871203170764051,34.883720930232556,12.73909967914001,129,45,84
orb30-side_only-none-eb002-tt001-ft1-atr-rr20,1.9851028186588024,False,30,90,side_only,none,0.02,0.01,True,atr,0.01,0.25,rr20,3,10000.0,9969.997920101077,-0.3000207989892312,0.9985455461707389,39.002932551319645,19.97336923581671,341,133,208,10000.0,14189.978382658033,41.899783826580325,1.4786758789148666,47.58620689655172,6.006416130782562,145,69,76,10000.0,9622.441548238208,-3.7755845176179137,0.9390813328902022,36.734693877551024,12.760037816568747,98,36,62
orb30-side_only-vwap_slope-eb002-tt001-ft1-atr-rr20,1.9851028186588024,False,30,90,side_only,vwap_slope,0.02,0.01,True,atr,0.01,0.25,rr20,3,10000.0,9969.997920101077,-0.3000207989892312,0.9985455461707389,39.002932551319645,19.97336923581671,341,133,208,10000.0,14315.357625174689,43.1535762517469,1.483647035665626,47.61904761904761,6.006416130782564,147,70,77,10000.0,9622.441548238208,-3.7755845176179137,0.9390813328902022,36.734693877551024,12.760037816568747,98,36,62
orb15-directional-ema-eb002-tt003-ft1-atr-rr20,1.9606958779798989,False,15,90,directional,ema,0.02,0.03,True,atr,0.01,0.25,rr20,3,10000.0,10449.087859446761,4.490878594467618,1.0436588517402359,39.436619718309856,21.85660961078175,142,56,86,10000.0,10851.130670551152,8.511306705511522,1.2651623827101617,40.38461538461539,8.949781390152097,52,21,31,10000.0,8510.234743401166,-14.89765256598834,0.552503277041129,30.76923076923077,14.897652565988336,52,16,36
orb30-side_only-vwap_slope-eb0-tt001-ft1-atr-rr20,1.9077773830389333,False,30,90,side_only,vwap_slope,0.0,0.01,True,atr,0.01,0.25,rr20,3,10000.0,9798.100259918276,-2.018997400817246,0.990979892260337,38.41961852861036,19.814497841710388,367,141,226,10000.0,14739.67470276266,47.396747027626596,1.5241130774029215,48.29931972789115,6.0064161307825845,147,71,76,10000.0,9290.469653344157,-7.095303466558434,0.8960541593336013,35.51401869158878,13.530652439157123,107,38,69
orb30-side_only-ema-eb0-tt003-ft0-atr-rr20,1.9047740782153069,False,30,90,side_only,ema,0.0,0.03,False,atr,0.01,0.25,rr20,3,10000.0,11119.87922636764,11.198792263676417,1.0332941794786232,40.0,22.605113558338484,500,200,300,10000.0,12929.926987035327,29.29926987035327,1.2800250668808633,44.0,11.807429997215605,175,77,98,10000.0,9699.1485925125,-3.0085140748750017,0.9645754319320297,37.32394366197183,7.8942053400353265,142,53,89
orb30-side_only-none-eb0-tt001-ft1-atr-rr20,1.8430334110032796,False,30,90,side_only,none,0.0,0.01,True,atr,0.01,0.25,rr20,3,10000.0,9711.345553854011,-2.8865444614598945,0.9869535226026431,38.35616438356164,19.8144978417104,365,140,225,10000.0,14177.540841081283,41.775408410812844,1.4749590479872752,47.58620689655172,6.006416130782577,145,69,76,10000.0,9290.469653344157,-7.095303466558434,0.8960541593336013,35.51401869158878,13.530652439157123,107,38,69
orb15-directional-ema-eb0-tt003-ft1-atr-rr20,1.8169470262147884,False,15,90,directional,ema,0.0,0.03,True,atr,0.01,0.25,rr20,3,10000.0,10515.13965889234,5.151396588923407,1.0459938083691132,39.35483870967742,22.48060270940915,155,61,94,10000.0,10475.93672445843,4.7593672445843005,1.1336279080390612,37.5,8.955764148810916,56,21,35,10000.0,8512.557676634033,-14.874423233659673,0.5534257479398677,30.76923076923077,14.874423233659673,52,16,36
orb30-side_only-vwap_slope-eb0-tt003-ft1-atr-rr20,1.641569652479646,False,30,90,side_only,vwap_slope,0.0,0.03,True,atr,0.01,0.25,rr20,3,10000.0,9980.672079194586,-0.19327920805413124,0.9993700834968481,38.476953907815634,21.153810150643697,499,192,307,10000.0,13621.027284844098,36.21027284844098,1.3195793592319327,45.19774011299435,9.120819891714365,177,80,97,10000.0,9249.336272055003,-7.5066372794499685,0.9080059376953676,35.76642335766424,12.591003179536814,137,49,88
