london_close,candle_lookback,min_net_body_points,stop_points,reward_risk,max_hold_minutes,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_mean_r,train_net_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_mean_r,validation_net_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,score
17:00,1,25.0,25.0,2.5,360,breakeven_1R,145,38,107,26.20689655172414,1.3673705525021722,0.17517241379310447,25.400000000000148,26.986595786372234,13.933708858793754,12698.659578637224,90,24,66,26.666666666666668,1.2087591240875897,0.11439999999999913,10.295999999999921,9.763174004990338,8.486491298839702,10976.317400499034,0.09222041176610261
17:00,1,25.0,25.0,2.5,180,breakeven_1R,145,38,107,26.20689655172414,1.3159676019670248,0.1506620689655177,21.846000000000068,22.61236915988949,13.933708858793754,12261.23691598895,90,24,66,26.666666666666668,1.2078264395782645,0.11388888888888897,10.250000000000007,9.713729197083554,8.48649129883969,10971.372919708356,0.09168614357163504
17:00,1,25.0,50.0,1.25,180,breakeven_1R,145,68,77,46.89655172413793,1.267152685929393,0.11589931034482767,16.805400000000013,17.357158859072786,10.606940306858204,11735.715885907279,90,41,49,45.55555555555556,1.2141873450684812,0.09504444444444382,8.553999999999943,8.393837562827965,5.909030055894291,10839.383756282796,0.07965281386720355
17:00,1,25.0,50.0,2.0,180,breakeven_1R,145,50,95,34.48275862068966,1.2246851896470843,0.09775448275862113,14.174400000000064,14.078515731355278,13.801475949980569,11407.851573135527,90,32,58,35.55555555555556,1.2406875359132625,0.10704444444444625,9.634000000000162,9.40734522059794,9.840189950477157,10940.734522059794,0.07623204554645224
17:00,1,25.0,25.0,2.0,90,breakeven_1R,145,45,100,31.03448275862069,1.2498079763663241,0.11663448275862151,16.91200000000012,17.056605066047005,16.183009355656797,11705.6605066047,90,29,61,32.22222222222222,1.1783827712312067,0.0975555555555556,8.780000000000005,8.281254161193296,8.932898658357596,10828.12541611933,0.0701138258117473
17:00,1,25.0,25.0,2.0,360,breakeven_1R,145,43,102,29.655172413793103,1.2456546929316346,0.11696551724137934,16.960000000000004,17.07013931658492,16.345281591809236,11707.013931658492,90,29,61,32.22222222222222,1.1783827712312067,0.0975555555555556,8.780000000000005,8.281254161193296,8.932898658357596,10828.12541611933,0.06978928133944241
17:00,1,25.0,25.0,2.5,90,breakeven_1R,145,42,103,28.965517241379313,1.3582939787485273,0.16743448275862188,24.278000000000173,25.675665413065985,13.700715428404923,12567.566541306598,90,26,64,28.888888888888886,1.1685470779220855,0.09228888888889285,8.306000000000356,7.664267069519437,8.486491298839697,10766.426706951943,0.0695602929334303
17:00,1,25.0,25.0,2.0,180,breakeven_1R,145,43,102,29.655172413793103,1.20199884125145,0.096179310344828,13.94600000000006,13.636149681187671,16.345281591809236,11363.614968118767,90,29,61,32.22222222222222,1.1783827712312067,0.0975555555555556,8.780000000000005,8.281254161193296,8.932898658357596,10828.12541611933,0.06841303612871481
17:00,1,25.0,50.0,2.5,90,breakeven_1R,145,60,85,41.37931034482759,1.293205490634782,0.10700827586207015,15.516200000000172,15.833994622633952,9.929349206416434,11583.399462263395,90,40,50,44.44444444444444,1.2023087943575237,0.08158888888889614,7.343000000000652,7.054473128562044,9.125033658278788,10705.447312856204,0.06725750158357043
17:00,1,25.0,50.0,1.5,180,breakeven_1R,145,61,84,42.06896551724138,1.3203844028480882,0.13914758620689677,20.17640000000003,21.243143485989812,11.431926132853826,12124.314348598982,90,36,54,40.0,1.1901618025858407,0.08448888888888907,7.604000000000017,7.320433709742358,8.478640663800695,10732.043370974236,0.06684771461638385
17:00,1,25.0,50.0,2.0,90,breakeven_1R,145,63,82,43.44827586206896,1.344894609863642,0.125801379310346,18.24120000000017,19.06401760672245,9.929349206416406,11906.401760672245,90,40,50,44.44444444444444,1.1992230548820983,0.08034444444445116,7.231000000000604,6.95728942101026,9.125033658278788,10695.728942101026,0.06593596281681863
17:00,1,25.0,75.0,1.5,180,trail_after_1.5R,145,70,75,48.275862068965516,1.1993903488286346,0.08204229885057514,11.896133333333395,11.809882768502655,11.196337436999015,11180.988276850265,90,44,46,48.888888888888886,1.2340172579098905,0.09040000000000523,8.13600000000047,8.013276016915682,5.890018258497563,10801.327601691568,0.06510402552818992
17:00,1,25.0,75.0,1.5,180,none,145,70,75,48.275862068965516,1.1993903488286346,0.08204229885057514,11.896133333333395,11.809882768502655,11.196337436999015,11180.988276850265,90,44,46,48.888888888888886,1.2340172579098905,0.09040000000000523,8.13600000000047,8.013276016915682,5.890018258497563,10801.327601691568,0.06510402552818992
17:00,1,25.0,35.0,1.5,90,breakeven_1R,145,58,87,40.0,1.1846978557504888,0.08588177339901559,12.452857142857262,12.23227377911924,13.499404381822464,11223.227377911924,90,38,52,42.22222222222222,1.181580666231224,0.08825396825396946,7.942857142857251,7.627211154014324,6.933072869972766,10762.721115401433,0.06388855732749908
17:00,1,25.0,50.0,1.25,90,breakeven_1R,145,76,69,52.41379310344828,1.4377018605285903,0.1592606896551726,23.092800000000025,25.120516653398074,6.286791499305565,12512.051665339808,90,44,46,48.888888888888886,1.1786462930273722,0.07196666666667083,6.477000000000375,6.24562236124806,7.424174139244802,10624.562236124806,0.06204931550709439
17:00,1,10.0,50.0,1.5,360,breakeven_1R,330,129,201,39.09090909090909,1.1693473613722407,0.07969999999999988,26.300999999999963,27.377803253039048,7.943206137667179,12737.780325303904,171,65,106,38.01169590643275,1.1744318181818172,0.08078947368421009,13.814999999999927,13.582220970638193,12.192262568884589,11358.22209706382,0.060008848333702375
17:00,1,25.0,50.0,1.25,360,breakeven_1R,145,69,76,47.58620689655172,1.2928400012151038,0.1329655172413796,19.28000000000004,20.227177984369792,9.453462147642323,12022.71779843698,90,39,51,43.333333333333336,1.159068124313743,0.07404444444444383,6.663999999999945,6.345917002051182,6.231945239584846,10634.591700205117,0.05956601038390051
