starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,363.35,63.35,21.12,43,17,26,39.53,6.11,0.1422,0.0439,31.26,M15
300.0,358.36,58.36,19.45,16,7,9,43.75,4.45,0.278,0.0345,32.06,M30
