date,balance
2026-05-08,300.0
2026-05-08,309.88199999999995
2026-05-11,304.07728071428573
2026-05-12,301.0618553571428
2026-05-13,301.0618553571428
2026-05-14,298.5061682142856
2026-05-15,307.4788682142856
2026-05-18,311.31716821428563
2026-05-19,305.2309439285714
2026-05-20,302.3163667857142
2026-05-21,296.4454696428571
2026-05-22,325.59996964285705
2026-05-25,325.59996964285705
2026-05-26,328.80717821428556
2026-05-27,322.59815964285707
2026-05-28,316.55612857142853
2026-05-29,310.43418071428573
2026-06-01,302.7034007142857
2026-06-02,336.4553007142856
2026-06-03,336.4553007142856
2026-06-04,329.7338007142857
2026-06-05,329.7338007142857
2026-06-08,323.0180403571428
2026-06-09,327.11954035714285
2026-06-10,325.06698714285716
2026-06-11,317.9100714285714
2026-06-12,310.81454
2026-06-15,303.88922750000006
2026-06-16,307.2852275000001
2026-06-17,307.2852275000001
2026-06-18,307.2852275000001
2026-06-19,307.2852275000001
2026-06-22,300.4103289285715
2026-06-23,296.86966392857147
2026-06-24,296.86966392857147
2026-06-25,324.9000639285714
2026-06-26,339.3052639285714
2026-06-29,352.6126639285713
2026-06-30,345.8760149999999
2026-07-01,345.8760149999999
2026-07-02,339.19870821428555
2026-07-03,339.19870821428555
2026-07-06,356.8699753571427
2026-07-07,353.41301107142846
