symbol,range_minutes,atr_stop_fraction,relative_volume_min,training_selection_score,robust_score,train_start,train_end,train_starting_balance,train_ending_balance,train_net_profit,train_return_percent,train_max_drawdown_percent,train_trades,train_wins,train_losses,train_win_rate_percent,train_profit_factor,train_total_r,train_average_r,train_sharpe,train_skipped_below_broker_minimum,train_minimum_lot_fallbacks,validation_start,validation_end,validation_starting_balance,validation_ending_balance,validation_net_profit,validation_return_percent,validation_max_drawdown_percent,validation_trades,validation_wins,validation_losses,validation_win_rate_percent,validation_profit_factor,validation_total_r,validation_average_r,validation_sharpe,validation_skipped_below_broker_minimum,validation_minimum_lot_fallbacks,full_start,full_end,full_starting_balance,full_ending_balance,full_net_profit,full_return_percent,full_max_drawdown_percent,full_trades,full_wins,full_losses,full_win_rate_percent,full_profit_factor,full_total_r,full_average_r,full_sharpe,full_skipped_below_broker_minimum,full_minimum_lot_fallbacks
ETHUSD,15,0.2,1.0,0.12740160228893704,15.81017223316034,2026-05-08,2026-06-18,300.0,303.90666285714263,3.906662857142635,1.3022209523808836,3.8250875789390215,13,3,10,23.076923076923077,1.1639613025367108,1.5565599357501765,0.1197353796730905,0.6436200371863346,0,0,2026-06-19,2026-07-07,300.0,330.03048571428576,30.03048571428576,10.010161904761915,0.9902569695446114,8,6,2,75.0,5.76938260624926,9.9229164380175,1.2403645547521875,8.23741424884181,0,0,2026-05-08,2026-07-07,300.0,334.59204857142834,34.592048571428336,11.530682857142782,3.8250875789390215,21,9,12,42.857142857142854,2.1483504247027687,11.479476373767676,0.5466417320841751,3.1402903006147542,0,0
BTCUSD,5,0.15,0.75,-1.511645485165887,13.68316511560169,2026-05-08,2026-06-18,300.0,300.71252964285725,0.7125296428572483,0.23750988095241343,5.041378618420134,22,8,14,36.36363636363637,1.0153271503287462,1.2472219822994757,0.056691908286339805,0.19826197256572864,0,11,2026-06-19,2026-07-07,300.0,329.7268207142856,29.726820714285623,9.908940238095209,2.4630392857142738,8,4,4,50.0,3.13406354192032,9.011274681731432,1.126409335216429,4.800312874401234,0,8,2026-05-08,2026-07-07,300.0,330.43935035714287,30.43935035714287,10.146450119047623,6.527331343591765,30,12,18,40.0,1.503814699108734,10.258496664030908,0.3419498888010303,2.0210153937840705,0,19
US100,60,0.15,0.75,14.857684537222429,5.989517903657652,2026-05-08,2026-06-18,300.0,346.2795849999999,46.279584999999884,15.42652833333329,5.324162193031409,19,9,10,47.368421052631575,2.2946129714501327,14.724421737463803,0.7749695651296739,3.3305077499770412,0,0,2026-06-19,2026-07-07,300.0,302.3689728571428,2.3689728571428077,0.7896576190476123,1.5953931101087406,6,3,3,50.0,1.3408875017241855,1.3021246563081685,0.2170207760513614,1.3085936032948893,0,0,2026-05-08,2026-07-07,300.0,351.07926714285685,51.07926714285685,17.02642238095229,5.324162193031409,25,12,13,48.0,2.1385348995598457,16.026546393771973,0.6410618557508789,2.9983176364587956,0,0
GBPUSD,5,0.2,1.25,5.259742938457935,2.6980900744600773,2026-05-08,2026-06-18,300.0,310.51114285714317,10.51114285714317,3.5037142857143877,0.9546762250624307,4,2,2,50.0,3.090165331515397,4.427732222106696,1.106933055526674,2.2768998879527627,0,0,2026-06-19,2026-07-07,300.0,302.1797142857145,2.1797142857145104,0.7265714285715097,0.7685162597812327,2,1,1,50.0,1.9313881089000746,0.7906055461234573,0.3953027730617287,1.8597912862585384,0,0,2026-05-08,2026-07-07,300.0,312.6908571428577,12.69085714285768,4.230285714285897,0.9546762250624307,6,3,3,50.0,2.722161910670074,5.218337768230153,0.8697229613716922,2.154804585344832,0,0
AUDUSD,30,0.2,0.75,-1.220062114498314,-1.276635395281028,2026-05-08,2026-06-18,300.0,301.0641428571426,1.064142857142599,0.35471428571420827,4.59995078593155,19,6,13,31.57894736842105,1.03520637486352,0.3607936105583247,0.018989137397806565,0.2517063308603797,0,0,2026-06-19,2026-07-07,300.0,300.2598571428578,0.25985714285781114,0.08661904761926298,3.486714285714242,6,2,4,33.33333333333333,1.0248425998006678,-0.22330187180094874,-0.03721697863349146,0.17810365157001085,0,0,2026-05-08,2026-07-07,300.0,301.32400000000047,1.324000000000467,0.44133333333349345,5.148409315676259,25,8,17,32.0,1.0325419063068488,0.137491738757376,0.00549966955029504,0.2334077553294794,0,0
EURUSD,60,0.2,0.75,-1000000000.0,-999996.6187619048,2026-05-08,2026-06-18,300.0,286.64042857142636,-13.359571428573645,-4.4531904761912156,7.283000000000356,15,4,11,26.666666666666668,0.536762484086784,-5.108981574195662,-0.34059877161304414,-2.783643233670613,0,0,2026-06-19,2026-07-07,300.0,310.14371428571275,10.143714285712747,3.381238095237582,1.555428571428763,8,5,3,62.5,3.0590998724040843,2.882644231671967,0.36033052895899587,4.421581996060765,0,0,2026-05-08,2026-07-07,300.0,292.19414285713947,-7.805857142860532,-2.6019523809535094,7.283000000000356,23,9,14,39.130434782608695,0.768823959959464,-2.2263373425236948,-0.09679727576189977,-1.1399705299483807,0,0
USDCAD,30,0.2,1.0,-1000000000.0,-999999.4857142858,2026-05-08,2026-06-18,300.0,296.47771428571474,-3.5222857142852604,-1.1740952380950853,7.598809523809223,14,4,10,28.57142857142857,0.861285204730354,-1.2093112556205694,-0.08637937540146924,-0.5449278098563427,0,0,2026-06-19,2026-07-07,300.0,301.5428571428571,1.5428571428570876,0.5142857142856894,0.9431677328356652,3,2,1,66.66666666666666,1.5438066465256295,0.5179256597335856,0.17264188657786186,1.4403228050258954,0,0,2026-05-08,2026-07-07,300.0,298.0205714285718,-1.9794285714281727,-0.659809523809396,7.598809523809223,17,6,11,35.294117647058826,0.9298806716395327,-0.6913855958869838,-0.04066974093452846,-0.21406790297437742,0,0
NZDUSD,60,0.15,0.75,-1000000000.0,-999999.8218928571,2026-05-08,2026-06-18,300.0,294.7662500000002,-5.233749999999816,-1.7445833333332716,4.326095238095188,16,5,11,31.25,0.7970923188756999,-2.6147672388348564,-0.16342295242717852,-1.049271303320698,0,0,2026-06-19,2026-07-07,300.0,300.5343214285712,0.5343214285712179,0.17810714285706464,2.4618928571428946,5,1,4,20.0,1.0635667214765292,-0.17464762357252955,-0.03492952471450591,0.30352770176711846,0,0,2026-05-08,2026-07-07,300.0,295.3005714285714,-4.699428571428598,-1.566476190476196,4.326095238095188,21,6,15,28.57142857142857,0.8625875119049592,-2.7894148624073862,-0.13282927916225648,-0.6045783497515573,0,0
USDCHF,15,0.2,0.75,-1000000000.0,-1000000.3684285714,2026-05-08,2026-06-18,300.0,272.5132857142861,-27.4867142857139,-9.162238095237962,9.290523809523753,22,4,18,18.181818181818183,0.34906812545883886,-10.672697188049334,-0.4851225994567879,-6.472172153298225,0,0,2026-06-19,2026-07-07,300.0,298.89471428571454,-1.1052857142854577,-0.36842857142848073,1.8901428571428291,6,2,4,33.33333333333333,0.8783433180810646,-0.39679864057806946,-0.06613310676301158,-0.5247885740245924,0,0,2026-05-08,2026-07-07,300.0,272.6881428571435,-27.311857142856525,-9.103952380952174,10.4223333333332,28,6,22,21.428571428571427,0.44737290903678406,-11.069495828627405,-0.395339136736693,-4.435355837093555,0,0
US30,15,0.075,0.75,-1000000000.0,-1000000.9774791667,2026-05-08,2026-06-18,300.0,237.1111142857136,-62.8888857142864,-20.962961904762135,20.962961904762135,22,0,22,0.0,0.0,-25.060583263472868,-1.1391174210669486,-23.489634032540717,0,0,2026-06-19,2026-07-07,300.0,297.06756250000046,-2.932437499999537,-0.9774791666665172,7.277000162285082,9,3,6,33.33333333333333,0.8938116587868835,-0.9308827230737895,-0.1034314136748655,-0.5145929210771595,0,0,2026-05-08,2026-07-07,300.0,235.41003571428544,-64.58996428571456,-21.529988095238185,24.69332142857157,31,3,28,9.67741935483871,0.23757033482051937,-25.991465986546658,-0.8384343866627954,-7.613380109199706,0,0
