case,phase,purpose,from,to,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,trades,max_dd_pct,max_dd_amount,sharpe,recovery_factor,expected_payoff,history_quality_pct,gross_profit,gross_loss,report,trade_retention_pct,robust_score,passes_research_gate,mc_paths,mc_p5_final_return_pct,mc_median_final_return_pct,mc_p95_max_dd_pct
baseline-standard,locked,"Frozen current LTA control, Safe gate off",2025.09.01,2026.09.01,10000.0,20981.09,10981.09,109.8109,1.43,33.07,254,12.04,1945.68,5.1,5.64,43.23,99.0,36646.52,-25665.43,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\locked\xauusd--baseline-standard--locked.htm,100.0,108.86128217673418,True,4000,31.46368241563536,108.52278184021662,22.422130532020425
baseline-safe,locked,"Frozen current LTA control, current recommended Safe gate on",2025.09.01,2026.09.01,10000.0,20172.36,10172.36,101.7236,1.43,33.05,239,11.89,1726.7,5.2,5.89,42.56,99.0,33862.09,-23689.73,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\locked\xauusd--baseline-safe--locked.htm,94.09448818897637,96.50511380085797,True,4000,27.400786064888123,100.82614990778836,22.259349174172286
auction-confirm,locked,Auction acceptance/rejection as confirmation gate,2025.09.01,2026.09.01,10000.0,15543.779999999999,5543.78,55.437799999999996,1.42,33.12,154,8.96,1303.89,5.0,4.25,36.0,99.0,18699.24,-13155.46,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\locked\xauusd--auction-confirm--locked.htm,60.629921259842526,38.56807235158834,False,4000,9.398360684065842,54.71340251205267,19.922024744579364
execution-guard,locked,Measured spread ceiling and 21:00-23:00 UTC rollover block,2025.09.01,2026.09.01,10000.0,15659.65,5659.65,56.59649999999999,1.28,30.88,217,13.27,2337.9,3.53,2.42,26.08,99.0,25706.52,-20046.87,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\locked\xauusd--execution-guard--locked.htm,85.43307086614173,38.01770653205358,False,4000,1.8792398639024555,55.41142398683442,25.05506202444242
