case,phase,purpose,from,to,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,trades,max_dd_pct,max_dd_amount,sharpe,recovery_factor,expected_payoff,history_quality_pct,gross_profit,gross_loss,report,trade_retention_pct,robust_score,passes_research_gate,mc_paths,mc_p5_final_return_pct,mc_median_final_return_pct,mc_p95_max_dd_pct
baseline-safe,full,"Frozen current LTA control, current recommended Safe gate on",2021.09.01,2026.09.01,10000.0,18517.98,8517.98,85.1798,1.18,28.31,611,28.25,2911.63,1.88,2.93,13.94,98.0,54865.98,-46348.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\full\xauusd--baseline-safe--full.htm,52.0442930153322,22.958971369356554,False,4000,-6.685382224814677,82.49077585756069,42.897837213970874
execution-guard,full,Measured spread ceiling and 21:00-23:00 UTC rollover block,2021.09.01,2026.09.01,10000.0,18254.93,8254.93,82.5493,1.1,27.19,1063,35.21,3943.42,0.99,2.09,7.77,98.0,94967.34,-86712.41,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\full\xauusd--execution-guard--full.htm,90.54514480408858,22.187367009839107,False,4000,-28.49376297977624,80.44337564836476,57.637479630764275
auction-confirm,full,Auction acceptance/rejection as confirmation gate,2021.09.01,2026.09.01,10000.0,15408.95,5408.95,54.0895,1.11,27.22,720,31.47,3203.97,1.01,1.69,7.51,98.0,56758.12,-51349.17,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\full\xauusd--auction-confirm--full.htm,61.32879045996593,-8.590557841873142,False,4000,-27.763788902067997,50.90903972771458,52.0377096192887
baseline-standard,full,"Frozen current LTA control, Safe gate off",2021.09.01,2026.09.01,10000.0,13370.26,3370.26,33.702600000000004,1.05,26.49,1174,44.17,4496.04,0.45,0.75,2.87,98.0,71851.63,-68481.37,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\full\xauusd--baseline-standard--full.htm,100.0,-41.90756014555444,False,4000,-47.33183461596464,32.66108781999837,65.0035982675028
