date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 07:15:00,2026-05-28 13:00:00,NZDUSD,BUY,win,1.2078,20.0,25.56,1
2026-06-01,2026-06-01 07:15:00,2026-06-01 10:00:00,NZDUSD,SELL,win,1.2078,25.56,32.66,2
2026-06-02,2026-06-02 07:15:00,2026-06-02 16:00:00,NZDUSD,SELL,timeout,0.3182,32.66,35.05,3
2026-06-03,2026-06-03 07:15:00,2026-06-03 12:15:00,NZDUSD,BUY,loss,-1.0909,35.05,26.25,2
2026-06-04,2026-06-04 07:15:00,2026-06-04 11:15:00,NZDUSD,SELL,loss,-1.0909,26.25,19.67,1
2026-06-05,2026-06-05 07:15:00,2026-06-05 12:45:00,NZDUSD,BUY,loss,-1.0909,19.67,14.73,1
2026-06-08,2026-06-08 07:15:00,2026-06-08 11:00:00,NZDUSD,BUY,win,1.2078,14.73,18.82,1
2026-06-09,2026-06-09 07:15:00,2026-06-09 16:00:00,NZDUSD,SELL,timeout,0.9091,18.82,22.76,1
2026-06-10,2026-06-10 07:15:00,2026-06-10 11:00:00,NZDUSD,BUY,loss,-1.0909,22.76,17.05,1
2026-06-11,2026-06-11 07:15:00,2026-06-11 12:15:00,NZDUSD,BUY,loss,-1.0909,17.05,12.77,1
2026-06-12,2026-06-12 07:30:00,2026-06-12 08:15:00,NZDUSD,SELL,loss,-1.0909,12.77,9.57,1
2026-06-16,2026-06-16 07:15:00,2026-06-16 10:30:00,NZDUSD,BUY,win,1.2078,9.57,12.22,1
2026-06-17,2026-06-17 07:15:00,2026-06-17 16:00:00,NZDUSD,BUY,timeout,-0.526,12.22,10.75,1
2026-06-18,2026-06-18 07:15:00,2026-06-18 09:00:00,NZDUSD,SELL,win,1.2078,10.75,13.73,1
2026-06-19,2026-06-19 07:15:00,2026-06-19 16:00:00,NZDUSD,SELL,timeout,0.1104,13.73,14.08,1
2026-06-23,2026-06-23 07:15:00,2026-06-23 11:45:00,NZDUSD,BUY,loss,-1.0909,14.08,10.55,1
2026-06-24,2026-06-24 07:15:00,2026-06-24 10:00:00,NZDUSD,BUY,loss,-1.0909,10.55,7.9,1
2026-06-25,2026-06-25 07:15:00,2026-06-25 12:45:00,NZDUSD,SELL,loss,-1.0909,7.9,5.92,1
2026-06-26,2026-06-26 07:15:00,2026-06-26 16:00:00,NZDUSD,SELL,timeout,-0.2143,5.92,5.63,1
