symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,max_trades_per_day,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,objective
AUDUSD,AUDUSDm,M1,TREND,3,1.2,1.0/1.5/3.0,ALL,3,146,81,65,55.48,300.0,703.34,403.34,134.45,28.42,1.39,0.171,128.6
XAUUSD,XAUUSDm,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,3,108,60,48,55.56,300.0,498.0,198.0,66.0,26.3,1.3,0.14,60.91
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,ALL,2,83,50,33,60.24,300.0,497.93,197.93,65.98,27.69,1.39,0.175,61.34
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,2.0,1.0/2.0/3.0,ALL,1,52,27,25,51.92,300.0,465.08,165.08,55.03,20.44,1.6,0.238,50.86
XAGUSD,XAGUSDm,M1,OFF,5,2.0,1.0/2.0/3.0,NY_OPEN,3,85,47,38,55.29,300.0,675.81,375.81,125.27,19.27,1.61,0.266,122.58
