release_utc,event,prediction,up_probability,actual,correct,pnl_pips,pnl_usd
2026-06-05T12:30:00+00:00,NFP,DOWN,0.49241,DOWN,1,1322.0,105.76
2026-06-10T12:30:00+00:00,CPI,UP,0.50565,UP,1,2694.0,215.52
2026-06-11T12:30:00+00:00,PPI,UP,0.5516,UP,1,170.3,13.62
2026-06-17T18:00:00+00:00,FOMC,DOWN,0.45657,DOWN,1,3061.0,244.88
2026-07-02T12:30:00+00:00,NFP,DOWN,0.43134,UP,0,-5362.0,-100.0
2026-07-14T12:30:00+00:00,CPI,UP,0.59109,UP,1,5986.0,478.88
2026-07-15T12:30:00+00:00,PPI,UP,0.53115,UP,1,807.0,64.56
2026-07-29T18:00:00+00:00,FOMC,DOWN,0.45034,UP,0,-3426.0,-100.0
