starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,symbol
300.0,334.8,34.8,11.6,7,5,2,71.43,2.37,0.3388,0.0151,5.08,US30
300.0,319.5,19.5,6.5,1,1,0,100.0,1.3,1.2999,0.0001,0.0,XAUUSD
