symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,max_trades_per_day,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,objective
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/2.0/3.0,NY_OPEN,2,35,20,15,57.14,100.0,134.71,34.71,34.71,14.7,1.48,0.241,32.74
USDSGD,USDSGD..,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,2,85,52,33,61.18,100.0,215.9,115.9,115.9,21.53,1.62,0.249,113.6
