symbol,broker_symbol,timeframe,side,signal_time,entry_time,exit_time,entry,stop,tp1,tp2,tp3,r_multiple,pnl,balance_after,exit_reason,bars_held,pivot_rsi,previous_rsi,risk_points,lot,target_risk,actual_risk,risk_mode
EURJPY,EURJPY..,M5,BUY,2026-05-26T15:00:00+00:00,2026-05-26T15:30:00+00:00,2026-05-26T16:50:00+00:00,185.243,185.140143,185.345857,185.448713,185.55157,-1.0,-12.0,288.0,stop,16,42.53,38.61,0.102857,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-05-27T13:50:00+00:00,2026-05-27T14:15:00+00:00,2026-05-27T16:50:00+00:00,185.532,185.40643,185.65757,185.78314,185.90871,0.3333,3.84,291.84,stop,31,41.74,38.51,0.12557,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-05-28T14:05:00+00:00,2026-05-28T14:25:00+00:00,2026-05-28T16:00:00+00:00,185.091,184.969035,185.212965,185.33493,185.456894,2.0,23.35,315.19,tp3,19,39.08,30.44,0.121965,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-05-29T12:35:00+00:00,2026-05-29T13:05:00+00:00,2026-05-29T23:05:00+00:00,185.415,185.221491,185.608509,185.802018,185.995527,1.5908,20.06,335.24,timeout,120,45.72,43.5,0.193509,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-01T12:00:00+00:00,2026-06-01T13:05:00+00:00,2026-06-01T18:30:00+00:00,185.771,185.968401,185.573599,185.376197,185.178796,1.3333,17.88,353.12,stop,65,50.68,55.51,0.197401,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-04T14:45:00+00:00,2026-06-04T15:30:00+00:00,2026-06-05T01:30:00+00:00,185.945,186.143816,185.746184,185.547368,185.348553,1.1046,15.6,368.73,timeout,120,64.07,74.3,0.198816,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-06-05T12:35:00+00:00,2026-06-05T13:05:00+00:00,2026-06-05T14:05:00+00:00,186.166,186.056707,186.275293,186.384587,186.49388,-1.0,-14.75,353.98,stop,12,56.28,53.41,0.109293,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-08T15:05:00+00:00,2026-06-08T15:40:00+00:00,2026-06-08T16:20:00+00:00,184.535,184.711001,184.358999,184.182998,184.006997,-1.0,-14.16,339.82,stop,8,65.64,73.02,0.176001,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-09T14:25:00+00:00,2026-06-09T14:45:00+00:00,2026-06-09T15:35:00+00:00,185.274,185.379827,185.168173,185.062347,184.95652,-1.0,-13.59,326.22,stop,10,74.74,80.69,0.105827,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-06-10T14:55:00+00:00,2026-06-10T15:35:00+00:00,2026-06-10T18:45:00+00:00,185.247,185.071348,185.422652,185.598304,185.773957,0.3333,4.35,330.57,stop,38,35.74,31.85,0.175652,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-11T14:30:00+00:00,2026-06-11T15:15:00+00:00,2026-06-11T20:30:00+00:00,185.062,185.302945,184.821055,184.58011,184.339165,0.3333,4.41,334.98,stop,63,58.8,61.82,0.240945,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-15T12:10:00+00:00,2026-06-15T13:05:00+00:00,2026-06-15T13:35:00+00:00,185.838,185.935651,185.740349,185.642698,185.545046,-1.0,-13.4,321.58,stop,6,53.5,56.94,0.097651,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-15T14:55:00+00:00,2026-06-15T15:15:00+00:00,2026-06-16T01:15:00+00:00,185.896,186.052149,185.739851,185.583702,185.427553,1.1829,15.22,336.8,timeout,120,57.66,70.72,0.156149,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-16T13:20:00+00:00,2026-06-16T14:20:00+00:00,2026-06-16T16:30:00+00:00,186.063,186.206291,185.919709,185.776418,185.633128,0.3333,4.49,341.29,stop,26,74.7,80.43,0.143291,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-18T12:50:00+00:00,2026-06-18T13:10:00+00:00,2026-06-18T16:35:00+00:00,184.418,184.678281,184.157719,183.897437,183.637156,-1.0,-13.65,327.64,stop,41,40.4,44.14,0.260281,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-19T14:20:00+00:00,2026-06-19T14:40:00+00:00,2026-06-19T19:45:00+00:00,184.836,184.981259,184.690741,184.545482,184.400223,-1.0,-13.11,314.53,stop,61,67.0,68.68,0.145259,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-22T13:05:00+00:00,2026-06-22T13:25:00+00:00,2026-06-22T17:05:00+00:00,185.268,185.433619,185.102381,184.936762,184.771143,2.0,25.16,339.7,tp3,44,60.75,62.82,0.165619,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-24T12:20:00+00:00,2026-06-24T13:05:00+00:00,2026-06-24T16:55:00+00:00,183.478,183.723816,183.232184,182.986369,182.740553,0.3333,4.53,344.22,stop,46,49.55,52.75,0.245816,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-26T12:55:00+00:00,2026-06-26T13:25:00+00:00,2026-06-26T15:40:00+00:00,184.269,184.436266,184.101734,183.934468,183.767202,-1.0,-13.77,330.46,stop,27,67.17,75.23,0.167266,0.0,0.0,0.0,RISK_PERCENT
