starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot
300.0,371.1,71.1,23.7,40,26,14,65.0,5.23,0.1292,15.92,Grid
300.0,309.04,9.04,3.01,1,1,0,100.0,0.6,0.1515,0.0,NewsPulse
