scenario,exit_config,base_risk_pct,progression_enabled,progression_multiplier,progression_cap_pct,target_cap_r,trades,wins,losses,win_rate_pct,net_r,profit_factor,cash_profit_factor,cash_gross_profit,cash_gross_loss,expectancy_r,risk_pct,max_risk_pct,maximum_applied_risk_pct,final_loss_streak,processed_trades,ruined,max_drawdown_pct,ending_balance,max_dd_pct_at_1pct,ending_balance_at_1pct
flat_fixed_1_7r,fixed_1.7R,0.5,False,1.6,,1.7,43,25,18,58.139534883720934,21.03208727609469,2.168449293116372,2.1457836502044296,205.5240507695754,95.78041604986367,0.4891183087463881,0.5,,0.5,0,43,False,2.621555489631398,1109.7436347197117,2.621555489631398,1109.7436347197117
flat_trailing_cap_1_7r,trail_start_1R_distance_1R_cap_1.7R,0.5,False,1.6,,1.7,46,27,19,58.69565217391305,18.50335582889537,1.973860833099756,1.950514806916593,196.69503631722944,100.8426265823474,0.4022468658455515,0.5,,0.5,0,46,False,2.6215554896313837,1095.852409734882,2.6215554896313837,1095.852409734882
progression_fixed_1_7r,fixed_1.7R,0.5,True,1.6,,1.7,43,25,18,58.139534883720934,21.03208727609469,2.168449293116372,2.55504248651068,341.9452667621722,133.83153844504295,0.4891183087463881,0.5,,2.0480000000000005,0,43,False,2.5705265889103788,1208.1137283171292,2.5705265889103788,1208.1137283171292
progression_trailing_cap_1_7r,trail_start_1R_distance_1R_cap_1.7R,0.5,True,1.6,,1.7,46,27,19,58.69565217391305,18.50335582889537,1.973860833099756,2.4018945089967256,334.3750749233416,139.21305605674183,0.4022468658455515,0.5,,2.0480000000000005,0,46,False,2.5705265889104023,1195.1620188665997,2.5705265889104023,1195.1620188665997
