scenario,symbol,config,side,pivot_time,entry_time,exit_time,entry,initial_stop,exit,exit_reason,bars_held,result_r,risk_pct,applied_risk_pct,loss_streak_before,risk_cash,pnl_cash,balance,drawdown_pct
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,sell,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-22T16:00:00+00:00,3336.21,3375.01,3375.01,stop,34,-1.0,0.5,0.5,0,5.0,-5.0,995.0,0.5
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-08-22T12:00:00+00:00,2025-08-25T12:00:00+00:00,2025-08-29T16:00:00+00:00,3364.14,3321.4,3436.7979999999993,target,25,1.6999999999999957,0.5,0.5,1,4.975,8.457499999999978,1003.4575,0.0
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-04T04:00:00+00:00,2025-09-05T04:00:00+00:00,2025-09-08T12:00:00+00:00,3552.39,3511.1,3622.5829999999996,target,8,1.6999999999999955,0.5,0.5,0,5.0172875,8.529388749999978,1011.9868887499999,0.0
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-10T00:00:00+00:00,2025-09-11T00:00:00+00:00,2025-09-11T12:00:00+00:00,3642.27,3618.92,3618.92,stop,3,-1.0,0.5,0.5,0,5.05993444375,-5.05993444375,1006.92695430625,0.4999999999999967
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-11T12:00:00+00:00,2025-09-12T12:00:00+00:00,2025-09-16T04:00:00+00:00,3641.23,3614.09,3687.368,target,10,1.700000000000005,0.5,0.5,1,5.03463477153125,8.55887911160315,1015.4858334178531,0.0
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-18T16:00:00+00:00,2025-09-19T16:00:00+00:00,2025-09-22T00:00:00+00:00,3649.29,3627.92,3685.6189999999997,target,2,1.6999999999999957,0.5,0.5,0,5.0774291670892655,8.63162958405173,1024.1174630019048,0.0
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-24T20:00:00+00:00,2025-09-25T20:00:00+00:00,2025-09-26T16:00:00+00:00,3733.92,3717.44,3761.936,target,5,1.7000000000000028,0.5,0.5,0,5.120587315009524,8.704998435516204,1032.822461437421,0.0
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-30T12:00:00+00:00,2025-10-01T12:00:00+00:00,2025-10-09T20:00:00+00:00,3893.16,3793.13,3956.4800000000005,stop,38,0.6330100969709165,0.5,0.5,0,5.164112307187105,3.268935232341213,1036.0913966697622,0.0
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-10-09T20:00:00+00:00,2025-10-10T20:00:00+00:00,2025-10-13T00:00:00+00:00,3983.59,3943.43,4051.8620000000005,target,1,1.6999999999999966,0.5,0.5,0,5.180456983348811,8.80677687169296,1044.8981735414552,0.0
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-10-17T20:00:00+00:00,2025-10-20T20:00:00+00:00,2025-10-21T16:00:00+00:00,4348.06,4186.03,4186.03,stop,5,-1.0,0.5,0.5,0,5.224490867707276,-5.224490867707276,1039.6736826737479,0.5000000000000066
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,2025-10-27T16:00:00+00:00,4095.83,4003.74,4003.74,stop,16,-1.0,0.5,0.5,1,5.19836841336874,-5.19836841336874,1034.475314260379,0.9975000000000148
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-10-30T04:00:00+00:00,2025-10-31T04:00:00+00:00,2025-11-13T04:00:00+00:00,4025.48,3915.41,4212.599,target,54,1.6999999999999988,0.5,0.5,2,5.172376571301895,8.793040171213216,1043.2683544315923,0.15597875000000694
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-11-14T16:00:00+00:00,2025-11-17T16:00:00+00:00,2025-11-17T20:00:00+00:00,4065.52,4032.21,4032.21,stop,1,-1.0,0.5,0.5,0,5.2163417721579615,-5.2163417721579615,1038.0520126594345,0.6551988562499986
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-11-18T08:00:00+00:00,2025-11-19T08:00:00+00:00,2025-12-01T12:00:00+00:00,4095.7,3997.96,4261.857999999999,target,47,1.6999999999999982,0.5,0.5,1,5.190260063297172,8.823442107605183,1046.8754547670396,0.0
flat_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-12-02T16:00:00+00:00,2025-12-03T16:00:00+00:00,2025-12-12T16:00:00+00:00,4237.42,4163.32,4266.86,stop,42,0.3973009446693584,0.5,0.5,0,5.234377273835198,2.079623035650545,1048.95507780269,0.0
