scenario,symbol,config,side,pivot_time,entry_time,exit_time,entry,initial_stop,exit,exit_reason,bars_held,result_r,risk_pct,applied_risk_pct,loss_streak_before,risk_cash,pnl_cash,balance,drawdown_pct
flat_fixed_1_7r,XAUUSD,fixed_1.7R,sell,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-22T16:00:00+00:00,3336.21,3375.01,3375.01,stop,34,-1.0,0.5,0.5,0,5.0,-5.0,995.0,0.5
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-08-22T12:00:00+00:00,2025-08-25T12:00:00+00:00,2025-08-29T16:00:00+00:00,3364.14,3321.4,3436.7979999999993,target,25,1.6999999999999957,0.5,0.5,1,4.975,8.457499999999978,1003.4575,0.0
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-04T04:00:00+00:00,2025-09-05T04:00:00+00:00,2025-09-08T12:00:00+00:00,3552.39,3511.1,3622.5829999999996,target,8,1.6999999999999955,0.5,0.5,0,5.0172875,8.529388749999978,1011.9868887499999,0.0
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-10T00:00:00+00:00,2025-09-11T00:00:00+00:00,2025-09-11T12:00:00+00:00,3642.27,3618.92,3618.92,stop,3,-1.0,0.5,0.5,0,5.05993444375,-5.05993444375,1006.92695430625,0.4999999999999967
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-11T12:00:00+00:00,2025-09-12T12:00:00+00:00,2025-09-16T04:00:00+00:00,3641.23,3614.09,3687.368,target,10,1.700000000000005,0.5,0.5,1,5.03463477153125,8.55887911160315,1015.4858334178531,0.0
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-18T16:00:00+00:00,2025-09-19T16:00:00+00:00,2025-09-22T00:00:00+00:00,3649.29,3627.92,3685.6189999999997,target,2,1.6999999999999957,0.5,0.5,0,5.0774291670892655,8.63162958405173,1024.1174630019048,0.0
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-24T20:00:00+00:00,2025-09-25T20:00:00+00:00,2025-09-26T16:00:00+00:00,3733.92,3717.44,3761.936,target,5,1.7000000000000028,0.5,0.5,0,5.120587315009524,8.704998435516204,1032.822461437421,0.0
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-30T12:00:00+00:00,2025-10-01T12:00:00+00:00,2025-10-13T08:00:00+00:00,3893.16,3793.13,4063.2109999999993,target,47,1.699999999999999,0.5,0.5,0,5.164112307187105,8.778990922218075,1041.601452359639,0.0
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-10-17T20:00:00+00:00,2025-10-20T20:00:00+00:00,2025-10-21T16:00:00+00:00,4348.06,4186.03,4186.03,stop,5,-1.0,0.5,0.5,0,5.208007261798196,-5.208007261798196,1036.3934450978409,0.5000000000000033
flat_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,2025-10-27T16:00:00+00:00,4095.83,4003.74,4003.74,stop,16,-1.0,0.5,0.5,1,5.181967225489204,-5.181967225489204,1031.2114778723517,0.9975000000000017
