scenario,symbol,config,side,pivot_time,entry_time,exit_time,entry,initial_stop,exit,exit_reason,bars_held,result_r,risk_pct,applied_risk_pct,loss_streak_before,risk_cash,pnl_cash,balance,drawdown_pct
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,sell,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-22T16:00:00+00:00,3336.21,3375.01,3375.01,stop,34,-1.0,0.5,0.5,0,5.0,-5.0,995.0,0.5
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-08-22T12:00:00+00:00,2025-08-25T12:00:00+00:00,2025-08-29T16:00:00+00:00,3364.14,3321.4,3436.7979999999993,target,25,1.6999999999999957,0.5,0.8,1,7.96,13.531999999999966,1008.5319999999999,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-04T04:00:00+00:00,2025-09-05T04:00:00+00:00,2025-09-08T12:00:00+00:00,3552.39,3511.1,3622.5829999999996,target,8,1.6999999999999955,0.5,0.5,0,5.04266,8.572521999999976,1017.1045219999999,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-10T00:00:00+00:00,2025-09-11T00:00:00+00:00,2025-09-11T12:00:00+00:00,3642.27,3618.92,3618.92,stop,3,-1.0,0.5,0.5,0,5.085522609999999,-5.085522609999999,1012.0189993899999,0.49999999999999994
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-11T12:00:00+00:00,2025-09-12T12:00:00+00:00,2025-09-16T04:00:00+00:00,3641.23,3614.09,3687.368,target,10,1.700000000000005,0.5,0.8,1,8.09615199512,13.76345839170404,1025.782457781704,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-18T16:00:00+00:00,2025-09-19T16:00:00+00:00,2025-09-22T00:00:00+00:00,3649.29,3627.92,3685.6189999999997,target,2,1.6999999999999957,0.5,0.5,0,5.12891228890852,8.719150891144462,1034.5016086728483,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-24T20:00:00+00:00,2025-09-25T20:00:00+00:00,2025-09-26T16:00:00+00:00,3733.92,3717.44,3761.936,target,5,1.7000000000000028,0.5,0.5,0,5.172508043364242,8.793263673719226,1043.2948723465674,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-09-30T12:00:00+00:00,2025-10-01T12:00:00+00:00,2025-10-09T20:00:00+00:00,3893.16,3793.13,3956.4800000000005,stop,38,0.6330100969709165,0.5,0.5,0,5.216474361732837,3.302080941566803,1046.5969532881343,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-10-09T20:00:00+00:00,2025-10-10T20:00:00+00:00,2025-10-13T00:00:00+00:00,3983.59,3943.43,4051.8620000000005,target,1,1.6999999999999966,0.5,0.5,0,5.232984766440671,8.896074102949123,1055.4930273910834,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-10-17T20:00:00+00:00,2025-10-20T20:00:00+00:00,2025-10-21T16:00:00+00:00,4348.06,4186.03,4186.03,stop,5,-1.0,0.5,0.5,0,5.277465136955417,-5.277465136955417,1050.215562254128,0.500000000000005
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,2025-10-27T16:00:00+00:00,4095.83,4003.74,4003.74,stop,16,-1.0,0.5,0.8,1,8.401724498033024,-8.401724498033024,1041.813837756095,1.2960000000000018
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-10-30T04:00:00+00:00,2025-10-31T04:00:00+00:00,2025-11-13T04:00:00+00:00,4025.48,3915.41,4212.599,target,54,1.6999999999999988,0.5,1.2800000000000002,2,13.335217123278017,22.669869109572613,1064.4837068656675,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-11-14T16:00:00+00:00,2025-11-17T16:00:00+00:00,2025-11-17T20:00:00+00:00,4065.52,4032.21,4032.21,stop,1,-1.0,0.5,0.5,0,5.322418534328338,-5.322418534328338,1059.1612883313392,0.4999999999999998
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-11-18T08:00:00+00:00,2025-11-19T08:00:00+00:00,2025-12-01T12:00:00+00:00,4095.7,3997.96,4261.857999999999,target,47,1.6999999999999982,0.5,0.8,1,8.473290306650714,14.404593521306198,1073.5658818526454,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-12-02T16:00:00+00:00,2025-12-03T16:00:00+00:00,2025-12-12T16:00:00+00:00,4237.42,4163.32,4266.86,stop,42,0.3973009446693584,0.5,0.5,0,5.367829409263226,2.132643695124244,1075.6985255477696,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-12-12T16:00:00+00:00,2025-12-15T16:00:00+00:00,2025-12-23T00:00:00+00:00,4332.43,4257.62,4459.607000000001,target,32,1.6999999999999988,0.5,0.5,0,5.378492627738848,9.143437467156035,1084.8419630149256,0.0
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-12-24T16:00:00+00:00,2025-12-26T16:00:00+00:00,2025-12-29T08:00:00+00:00,4525.35,4448.32,4448.32,stop,4,-1.0,0.5,0.5,0,5.424209815074628,-5.424209815074628,1079.417753199851,0.49999999999999917
progression_trailing_cap_1_7r,XAUUSD,trail_start_1R_distance_1R_cap_1.7R,buy,2025-12-29T16:00:00+00:00,2025-12-30T16:00:00+00:00,2025-12-31T04:00:00+00:00,4388.68,4303.01,4303.01,stop,3,-1.0,0.5,0.8,1,8.635342025598808,-8.635342025598808,1070.782411174252,1.2960000000000078
