scenario,symbol,config,side,pivot_time,entry_time,exit_time,entry,initial_stop,exit,exit_reason,bars_held,result_r,risk_pct,applied_risk_pct,loss_streak_before,risk_cash,pnl_cash,balance,drawdown_pct
progression_fixed_1_7r,XAUUSD,fixed_1.7R,sell,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-22T16:00:00+00:00,3336.21,3375.01,3375.01,stop,34,-1.0,0.5,0.5,0,5.0,-5.0,995.0,0.5
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-08-22T12:00:00+00:00,2025-08-25T12:00:00+00:00,2025-08-29T16:00:00+00:00,3364.14,3321.4,3436.7979999999993,target,25,1.6999999999999957,0.5,0.8,1,7.96,13.531999999999966,1008.5319999999999,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-04T04:00:00+00:00,2025-09-05T04:00:00+00:00,2025-09-08T12:00:00+00:00,3552.39,3511.1,3622.5829999999996,target,8,1.6999999999999955,0.5,0.5,0,5.04266,8.572521999999976,1017.1045219999999,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-10T00:00:00+00:00,2025-09-11T00:00:00+00:00,2025-09-11T12:00:00+00:00,3642.27,3618.92,3618.92,stop,3,-1.0,0.5,0.5,0,5.085522609999999,-5.085522609999999,1012.0189993899999,0.49999999999999994
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-11T12:00:00+00:00,2025-09-12T12:00:00+00:00,2025-09-16T04:00:00+00:00,3641.23,3614.09,3687.368,target,10,1.700000000000005,0.5,0.8,1,8.09615199512,13.76345839170404,1025.782457781704,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-18T16:00:00+00:00,2025-09-19T16:00:00+00:00,2025-09-22T00:00:00+00:00,3649.29,3627.92,3685.6189999999997,target,2,1.6999999999999957,0.5,0.5,0,5.12891228890852,8.719150891144462,1034.5016086728483,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-24T20:00:00+00:00,2025-09-25T20:00:00+00:00,2025-09-26T16:00:00+00:00,3733.92,3717.44,3761.936,target,5,1.7000000000000028,0.5,0.5,0,5.172508043364242,8.793263673719226,1043.2948723465674,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-09-30T12:00:00+00:00,2025-10-01T12:00:00+00:00,2025-10-13T08:00:00+00:00,3893.16,3793.13,4063.2109999999993,target,47,1.699999999999999,0.5,0.5,0,5.216474361732837,8.86800641494582,1052.1628787615132,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-10-17T20:00:00+00:00,2025-10-20T20:00:00+00:00,2025-10-21T16:00:00+00:00,4348.06,4186.03,4186.03,stop,5,-1.0,0.5,0.5,0,5.260814393807566,-5.260814393807566,1046.9020643677056,0.49999999999999845
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,2025-10-27T16:00:00+00:00,4095.83,4003.74,4003.74,stop,16,-1.0,0.5,0.8,1,8.375216514941645,-8.375216514941645,1038.526847852764,1.296000000000005
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-10-30T04:00:00+00:00,2025-10-31T04:00:00+00:00,2025-11-13T04:00:00+00:00,4025.48,3915.41,4212.599,target,54,1.6999999999999988,0.5,1.2800000000000002,2,13.29314365251538,22.598344209276128,1061.12519206204,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-11-14T16:00:00+00:00,2025-11-17T16:00:00+00:00,2025-11-17T20:00:00+00:00,4065.52,4032.21,4032.21,stop,1,-1.0,0.5,0.5,0,5.3056259603102,-5.3056259603102,1055.8195661017298,0.49999999999999817
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-11-18T08:00:00+00:00,2025-11-19T08:00:00+00:00,2025-12-01T12:00:00+00:00,4095.7,3997.96,4261.857999999999,target,47,1.6999999999999982,0.5,0.8,1,8.44655652881384,14.359146098983512,1070.1787122007133,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-12-02T16:00:00+00:00,2025-12-03T16:00:00+00:00,2025-12-18T16:00:00+00:00,4237.42,4163.32,4363.39,target,66,1.699999999999995,0.5,0.5,0,5.350893561003566,9.096519053706036,1079.2752312544194,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-12-18T16:00:00+00:00,2025-12-19T16:00:00+00:00,2025-12-22T00:00:00+00:00,4328.61,4308.71,4362.439999999999,target,2,1.6999999999999817,0.5,0.5,0,5.396376156272097,9.173839465662466,1088.4490707200819,0.0
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-12-24T16:00:00+00:00,2025-12-26T16:00:00+00:00,2025-12-29T08:00:00+00:00,4525.35,4448.32,4448.32,stop,4,-1.0,0.5,0.5,0,5.442245353600409,-5.442245353600409,1083.0068253664815,0.49999999999999506
progression_fixed_1_7r,XAUUSD,fixed_1.7R,buy,2025-12-29T16:00:00+00:00,2025-12-30T16:00:00+00:00,2025-12-31T04:00:00+00:00,4388.68,4303.01,4303.01,stop,3,-1.0,0.5,0.8,1,8.664054602931852,-8.664054602931852,1074.3427707635497,1.2959999999999954
