symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,max_trades_per_day,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,objective
AUDUSD,AUDUSDm,M1,TREND,3,1.2,1.0/1.5/3.0,ALL,3,146,81,65,55.48,300.0,713.03,413.03,137.68,28.42,1.4,0.173,131.83
XAUUSD,XAUUSDm,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,3,108,60,48,55.56,300.0,506.45,206.45,68.82,26.3,1.31,0.144,63.73
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,ALL,2,83,51,32,61.45,300.0,505.15,205.15,68.38,27.69,1.4,0.18,63.98
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,2.0,1.0/2.0/3.0,ALL,1,52,27,25,51.92,300.0,467.17,167.17,55.72,20.44,1.61,0.24,51.55
XAGUSD,XAGUSDm,M1,OFF,5,2.0,1.0/2.0/3.0,NY_OPEN,3,85,47,38,55.29,300.0,675.81,375.81,125.27,19.27,1.61,0.266,122.58
