case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,placement_lead_seconds,close_seconds,dynamic,buy,sell,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
btcusd__verified-fxmacrodata,Verified,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,112.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2026.06.12,2026.09.10,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Verified\btcusd__verified-fxmacrodata.htm,10000.0,12766.9,2766.9,27.669,2892.78,-125.88,22.98,87.5,7,1,8,130.14,1.12,6.61,21.26,100.0,129552,35.70193218813452
ethusd__verified-fxmacrodata,Verified,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,4.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2026.06.12,2026.09.10,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Verified\ethusd__verified-fxmacrodata.htm,10000.0,12723.21,2723.21,27.2321,2951.72,-228.51,12.92,75.0,6,2,8,144.95,1.38,4.71,18.79,100.0,129551,35.05703218813453
