case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,placement_lead_seconds,close_seconds,dynamic,buy,sell,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
btcusd__two-sided__e75-s75__lead30-close60-trail150,Locked,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,112.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2026.06.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Locked\btcusd__two-sided__e75-s75__lead30-close60-trail150.htm,10000.0,12051.08,2051.08,20.5108,2189.43,-138.35,15.83,90.0,9,1,10,135.85,1.12,15.45,15.1,100.0,132433,29.290244679663246
ethusd__two-sided__e3-s3__lead30-close60-trail150,Locked,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,4.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2026.06.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Locked\ethusd__two-sided__e3-s3__lead30-close60-trail150.htm,10000.0,11356.28,1356.28,13.5628,1626.19,-269.91,6.02,70.0,7,3,10,148.01,1.38,11.8,9.16,100.0,132432,22.13424467966324
