case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,placement_lead_seconds,close_seconds,dynamic,buy,sell,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
btcusd__two-sided__e75-s75__lead30-close60-trail150,Stress,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,112.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2025.09.01,2026.09.01,-1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Stress\btcusd__two-sided__e75-s75__lead30-close60-trail150.htm,10000.0,16132.2,6132.2,61.321999999999996,7486.69,-1354.49,5.53,64.29,27,15,42,591.48,4.18,311.82,10.37,100.0,525440,70.89193300075817
ethusd__two-sided__e3-s3__lead30-close60-trail150,Stress,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,4.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2025.09.01,2026.09.01,-1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Stress\ethusd__two-sided__e3-s3__lead30-close60-trail150.htm,10000.0,20904.5,10904.5,109.04499999999999,13198.38,-2293.88,5.75,67.44,29,14,43,1119.56,8.23,259.37,9.74,100.0,525439,115.4110285933479
