case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,placement_lead_seconds,close_seconds,dynamic,buy,sell,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
btcusd__sell-only__e150-s100__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,sell-only,e150-s100,150.0,100.0,250.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__sell-only__e150-s100__lead30-close60-trail250.htm,10000.0,10125.79,125.79,1.2579,366.47,-240.68,1.52,42.86,3,4,7,365.04,3.48,0.79,0.34,100.0,391567,-4.925389460184544
btcusd__sell-only__e150-s150__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,sell-only,e150-s150,150.0,150.0,375.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__sell-only__e150-s150__lead30-close60-trail250.htm,10000.0,9885.82,-114.18,-1.1418000000000001,166.64,-280.82,0.59,28.57,2,5,7,441.45,4.28,-1.1,-0.26,100.0,391567,-15.405089460184545
btcusd__sell-only__e200-s150__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,sell-only,e200-s150,200.0,150.0,375.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__sell-only__e200-s150__lead30-close60-trail250.htm,10000.0,9972.42,-27.58,-0.2758,128.34,-155.92,0.82,25.0,1,3,4,333.62,3.24,-0.1,-0.08,100.0,391567,-1000000000.0
btcusd__sell-only__e225-s225__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,sell-only,e225-s225,225.0,225.0,562.5,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__sell-only__e225-s225__lead30-close60-trail250.htm,10000.0,9905.46,-94.54,-0.9454,76.58,-171.12,0.45,25.0,1,3,4,288.5,2.83,-0.45,-0.33,100.0,391567,-1000000000.0
btcusd__sell-only__e300-s300__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,sell-only,e300-s300,300.0,300.0,750.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__sell-only__e300-s300__lead30-close60-trail250.htm,10000.0,9857.12,-142.88,-1.4288,39.53,-182.41,0.22,25.0,1,3,4,271.2,2.68,-0.97,-0.53,100.0,391567,-1000000000.0
btcusd__sell-only__e450-s300__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,sell-only,e450-s300,450.0,300.0,750.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__sell-only__e450-s300__lead30-close60-trail250.htm,10000.0,9923.54,-76.46,-0.7646,1.8,-78.26,0.02,50.0,1,1,2,163.9,1.62,-0.36,-0.47,100.0,391567,-1000000000.0
btcusd__two-sided__e75-s75__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,187.5,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__two-sided__e75-s75__lead30-close60-trail250.htm,10000.0,14231.41,4231.41,42.314099999999996,5594.05,-1362.64,4.11,57.58,19,14,33,691.4,4.63,293.01,6.12,100.0,391567,51.12854688088604
btcusd__two-sided__e100-s100__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,two-sided,e100-s100,100.0,100.0,250.0,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__two-sided__e100-s100__lead30-close60-trail250.htm,10000.0,12138.15,2138.15,21.3815,3059.35,-921.2,3.32,61.29,19,12,31,380.16,3.29,269.33,5.62,100.0,391567,31.157393959464507
btcusd__two-sided__e150-s100__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,two-sided,e150-s100,150.0,100.0,250.0,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__two-sided__e150-s100__lead30-close60-trail250.htm,10000.0,11536.02,1536.02,15.360199999999999,2372.76,-836.74,2.84,48.0,12,13,25,449.76,3.75,187.96,3.42,100.0,391567,23.080199999999998
btcusd__two-sided__e150-s150__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,two-sided,e150-s150,150.0,150.0,375.0,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__two-sided__e150-s150__lead30-close60-trail250.htm,10000.0,10161.45,161.45,1.6145,1155.62,-994.17,1.16,36.0,9,16,25,605.72,5.63,32.86,0.27,100.0,391567,-5.609500000000001
btcusd__two-sided__e200-s150__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,two-sided,e200-s150,200.0,150.0,375.0,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__two-sided__e200-s150__lead30-close60-trail250.htm,10000.0,10166.01,166.01,1.6600999999999997,947.98,-781.97,1.21,35.0,7,13,20,665.76,6.15,29.77,0.25,100.0,391567,-6.052035954999581
btcusd__two-sided__e225-s225__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,two-sided,e225-s225,225.0,225.0,562.5,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__two-sided__e225-s225__lead30-close60-trail250.htm,10000.0,9726.87,-273.13,-2.7313,480.52,-753.65,0.64,35.0,7,13,20,613.13,5.93,-5.0,-0.45,100.0,391567,-14.82743595499958
