case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,placement_lead_seconds,close_seconds,dynamic,buy,sell,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
btcusd__two-sided__e75-s75__lead15-close60-trail250,Management,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,187.5,lead15-close60-trail250,15,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\btcusd__two-sided__e75-s75__lead15-close60-trail250.htm,10000.0,14289.73,4289.73,42.897299999999994,5366.55,-1076.82,4.98,60.61,20,13,33,488.27,3.3,343.93,8.79,100.0,391567,52.77574688088604
btcusd__two-sided__e75-s75__lead30-close30-trail250,Management,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,187.5,lead30-close30-trail250,30,30,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\btcusd__two-sided__e75-s75__lead30-close30-trail250.htm,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,100.0,391567,-1000000000.0
btcusd__two-sided__e75-s75__lead30-close60-trail150,Management,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,112.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\btcusd__two-sided__e75-s75__lead30-close60-trail150.htm,10000.0,15848.7,5848.7,58.487,7150.94,-1302.24,5.49,69.7,23,10,33,556.22,3.4,341.64,10.52,100.0,391567,68.28544688088604
btcusd__two-sided__e75-s75__lead30-close60-trail250,Management,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,187.5,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\btcusd__two-sided__e75-s75__lead30-close60-trail250.htm,10000.0,14231.41,4231.41,42.314099999999996,5594.05,-1362.64,4.11,57.58,19,14,33,691.4,4.63,293.01,6.12,100.0,391567,51.12854688088604
btcusd__two-sided__e75-s75__lead30-close60-trail400,Management,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,300.0,lead30-close60-trail400,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\btcusd__two-sided__e75-s75__lead30-close60-trail400.htm,10000.0,12272.65,2272.65,22.7265,3795.07,-1522.42,2.49,51.52,17,16,33,734.4,5.65,198.81,3.09,100.0,391567,26.644946880886046
btcusd__two-sided__e75-s75__lead30-close90-trail250,Management,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,187.5,lead30-close90-trail250,30,90,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\btcusd__two-sided__e75-s75__lead30-close90-trail250.htm,10000.0,14488.46,4488.46,44.8846,5861.63,-1373.17,4.27,57.58,19,14,33,700.2,4.65,276.52,6.41,100.0,391567,53.683046880886046
btcusd__two-sided__e75-s75__lead60-close60-trail250,Management,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,187.5,lead60-close60-trail250,60,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\btcusd__two-sided__e75-s75__lead60-close60-trail250.htm,10000.0,13875.15,3875.15,38.7515,4876.54,-1001.39,4.87,66.67,20,10,30,384.3,2.85,286.2,10.08,100.0,391567,48.82001628329889
btcusd__two-sided__e75-s75__lead30-close60-dynamic,Management,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,187.5,lead30-close60-dynamic,30,60,True,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\btcusd__two-sided__e75-s75__lead30-close60-dynamic.htm,10000.0,14231.41,4231.41,42.314099999999996,5594.05,-1362.64,4.11,57.58,19,14,33,691.4,4.63,293.01,6.12,100.0,391567,51.12854688088604
ethusd__two-sided__e3-s3__lead15-close60-trail250,Management,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,7.5,lead15-close60-trail250,15,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\ethusd__two-sided__e3-s3__lead15-close60-trail250.htm,10000.0,24195.14,14195.14,141.9514,15936.64,-1741.5,9.15,71.88,23,9,32,610.32,2.46,317.03,23.26,100.0,391567,152.44786609406728
ethusd__two-sided__e3-s3__lead30-close30-trail250,Management,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,7.5,lead30-close30-trail250,30,30,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\ethusd__two-sided__e3-s3__lead30-close30-trail250.htm,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,100.0,391567,-1000000000.0
ethusd__two-sided__e3-s3__lead30-close60-trail150,Management,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,4.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\ethusd__two-sided__e3-s3__lead30-close60-trail150.htm,10000.0,25878.309999999998,15878.31,158.7831,18540.13,-2661.82,6.97,65.71,23,12,35,885.81,3.31,323.96,17.93,100.0,391567,168.7544829810859
ethusd__two-sided__e3-s3__lead30-close60-trail250,Management,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,7.5,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\ethusd__two-sided__e3-s3__lead30-close60-trail250.htm,10000.0,22638.239999999998,12638.24,126.3824,15420.19,-2781.95,5.54,54.29,19,16,35,1290.86,5.39,285.36,9.79,100.0,391567,134.68978298108593
ethusd__two-sided__e3-s3__lead30-close60-trail400,Management,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,12.0,lead30-close60-trail400,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\ethusd__two-sided__e3-s3__lead30-close60-trail400.htm,10000.0,19929.41,9929.41,99.2941,12947.85,-3018.44,4.29,51.43,18,17,35,1626.16,7.54,249.97,6.11,100.0,391567,105.88148298108594
ethusd__two-sided__e3-s3__lead30-close90-trail250,Management,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,7.5,lead30-close90-trail250,30,90,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Management\ethusd__two-sided__e3-s3__lead30-close90-trail250.htm,10000.0,22693.55,12693.55,126.9355,15876.14,-3182.59,4.99,51.43,18,17,35,1387.04,5.82,251.79,9.15,100.0,391567,134.8988829810859
