case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,placement_lead_seconds,close_seconds,dynamic,buy,sell,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
btcusd__two-sided__e75-s75__lead30-close60-trail150,Full,btcusd,BTCUSD,M1,two-sided,e75-s75,75.0,75.0,112.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Full\btcusd__two-sided__e75-s75__lead30-close60-trail150.htm,10000.0,19106.7,9106.7,91.06700000000001,10629.39,-1522.69,6.98,74.42,32,11,43,556.22,3.4,407.04,16.37,100.0,525440,101.29702859334792
ethusd__two-sided__e3-s3__lead30-close60-trail150,Full,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,4.5,lead30-close60-trail150,30,60,False,True,True,0.75,1.5,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Full\ethusd__two-sided__e3-s3__lead30-close60-trail150.htm,10000.0,29388.64,19388.64,193.88639999999998,22748.96,-3360.32,6.77,66.67,30,15,45,942.25,3.52,326.95,20.58,100.0,525439,204.08897603000025
