timeframe_minutes,pivot_bars,minimum_leg_atr,structure_mode,value_area_pct,vah_tolerance_atr,reaction_mode,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
60,5,1.5,0,0.6,0.15,1,12,1,0.1,3.0,24,0,15,9,6,60.0,3.731153847600136,16.60886404788272,1.1072576031921813,17.65943891245858,3.9110210058050994,11765.943891245857,4,3,1,75.0,8.928110554883775,7.965869657258699,1.9914674143146747,8.143928487215923,1.5498127527146273,10814.392848721593,101.65204285011323
60,5,1.5,0,0.6,0.15,1,12,1,0.0,3.0,24,0,15,8,7,53.333333333333336,3.026989460714425,14.404681209914845,0.9603120806609896,15.096525812180639,4.395072389484723,11509.652581218064,4,3,1,75.0,8.92323853753081,7.962611544001959,1.9906528860004897,8.140498619678338,1.577969134010329,10814.049861967835,86.92844751397328
60,5,1.5,0,0.6,0.15,1,12,1,0.25,3.0,24,0,15,9,6,60.0,3.327059869261752,14.116792284271755,0.941119485618117,14.813415405145868,3.582575573068816,11481.341540514586,4,3,1,75.0,8.934095368552667,7.96966455392638,1.992416138481595,8.147925180768523,1.600221051556766,10814.792518076853,85.05793781867098
60,5,1.5,0,0.6,0.15,1,12,1,0.1,3.0,72,0,15,7,8,46.666666666666664,2.948908294124425,13.830536430971772,0.9220357620647849,14.439573043093601,4.18847236755878,11443.95730430936,4,3,1,75.0,8.928110554883775,7.965869657258699,1.9914674143146747,8.143928487215923,1.5498127527146273,10814.392848721593,83.01102824391721
60,5,1.5,0,0.6,0.15,1,12,1,0.0,3.0,72,0,15,7,8,46.666666666666664,2.940638306097212,13.80621721918886,0.9204144812792573,14.411759050431039,4.395072389484701,11441.175905043103,4,3,1,75.0,8.92323853753081,7.962611544001959,1.9906528860004897,8.140498619678338,1.577969134010329,10814.049861967835,82.81996418799449
60,5,1.5,0,0.6,0.15,1,12,1,0.1,3.0,6,0,15,9,6,60.0,3.4666980764606223,11.36406551630196,0.757604367753464,11.78466724932623,3.3204167795151984,11178.466724932623,4,3,1,75.0,6.70492046505208,5.732091210766265,1.4330228026915663,5.798388925842324,1.8547903482504575,10579.838892584232,66.72215555981889
60,5,1.5,0,0.6,0.15,1,12,1,0.0,3.0,6,0,15,8,7,53.333333333333336,2.833550351863363,10.47465499558892,0.6983103330392614,10.784153731322688,3.3575150869553365,11078.41537313227,4,3,1,75.0,6.750989874358421,5.779568309863808,1.444892077465952,5.848292178752246,1.9119496250530814,10584.829217875224,60.45762689367896
60,5,1.5,0,0.6,0.15,1,12,1,0.25,3.0,72,0,15,6,9,40.0,2.2187810610258953,9.854720730591318,0.6569813820394211,10.02161442792453,3.9375714035384908,11002.161442792452,4,3,1,75.0,8.934095368552667,7.96966455392638,1.992416138481595,8.147925180768523,1.600221051556766,10814.792518076853,55.060389833025
60,5,1.5,0,0.6,0.15,1,12,1,0.25,3.0,6,0,15,9,6,60.0,2.7402354220850342,7.859295480367095,0.523953032024473,8.013673580741276,3.2753910719264425,10801.367358074127,4,3,1,75.0,4.5689932897569365,3.58499337269318,0.896248343173295,3.601524989690996,1.7813776013907312,10360.152498969099,42.84019437354519
60,2,1.5,0,0.6,0.05,0,12,1,0.25,3.0,6,0,86,41,45,47.674418604651166,1.7283078121310895,26.765126600286024,0.31122240232890724,29.537488301576097,6.173900588094223,12953.74883015761,21,11,10,52.38095238095238,1.8991086081013622,7.086491458906599,0.33745197423364753,7.125202896088778,3.3350715445090837,10712.520289608878,34.51752606720308
60,2,1.5,0,0.6,0.05,0,12,1,0.1,3.0,6,0,86,40,46,46.51162790697674,1.8596174525994762,33.75479748749933,0.39249764520348057,38.64977673547732,6.108410456434021,13864.977673547732,21,10,11,47.61904761904762,1.6981117219375594,6.355604009062958,0.30264780995537893,6.315977600662581,3.7340919825803476,10631.597760066257,33.6036040573628
60,2,2.5,0,0.6,0.05,0,12,1,0.25,3.0,6,0,69,32,37,46.3768115942029,1.6849996729933718,20.16770298108576,0.2922855504505183,21.51582007083348,4.524712983152627,12151.582007083347,18,10,8,55.55555555555556,1.7721881069400875,5.218552579824847,0.28991958776804705,5.194290970228099,4.2775559087325385,10519.42909702281,32.38491924171893
60,2,1.5,0,0.6,0.05,0,24,1,0.25,3.0,6,0,103,48,55,46.601941747572816,1.6099980204367077,27.81922581803259,0.2700895710488601,30.718718033064007,7.890568987587293,13071.871803306401,29,14,15,48.275862068965516,1.7343444337144354,8.29045966836654,0.2858779195988462,8.345957565623173,3.3059186142194865,10834.595756562318,30.095638744670406
60,2,2.5,0,0.6,0.05,0,24,1,0.25,3.0,6,0,84,39,45,46.42857142857143,1.61132486889432,22.581228534581754,0.26882414922121134,24.309365076281807,5.6956502313465,12430.936507628181,25,13,12,52.0,1.8106549845944335,7.426933099258827,0.2970773239703531,7.472508872067829,5.096287908210746,10747.250887206783,30.089135299831135
60,2,2.5,0,0.6,0.05,0,48,1,0.1,3.0,6,0,87,42,45,48.275862068965516,1.8973812022935077,34.518121484633966,0.3967600170647582,39.75942198323359,5.149813966507516,13975.942198323359,30,15,15,50.0,1.59447188015521,7.8255410988496745,0.2608513699616558,7.805444659768046,5.335557419760486,10780.544465976805,29.297346031738886
60,2,2.5,0,0.6,0.05,0,12,1,0.1,3.0,6,0,69,33,36,47.82608695652174,1.9671628680804982,28.928050913176172,0.4192471146837126,32.421611808775275,4.749200193232503,13242.161180877527,18,9,9,50.0,1.5647901591064175,4.500615137415462,0.250034174300859,4.413156188473311,4.640301301426078,10441.315618847331,28.142489634621427
60,2,1.5,0,0.6,0.05,0,48,1,0.25,3.0,6,0,106,49,57,46.22641509433962,1.560015262695057,26.6734848577495,0.25163664960141036,29.21127663836518,9.124225125723145,12921.127663836518,35,17,18,48.57142857142857,1.6296786525318654,9.007528021431098,0.25735794346945995,9.059574618374878,4.2830052194890955,10905.957461837488,28.09459387183337
60,2,2.5,0,0.6,0.05,0,48,1,0.25,3.0,6,0,87,40,47,45.97701149425287,1.550154491706787,21.43548757429867,0.24638491464711115,22.875836003442274,6.3087554582585454,12287.583600344227,30,16,14,53.333333333333336,1.8198172476484045,9.154494122884376,0.3051498040961459,9.284686733482594,5.096287908210761,10928.46867334826,27.70367384107769
60,2,2.5,0,0.6,0.05,0,24,1,0.1,3.0,6,0,84,40,44,47.61904761904762,1.8438340968328473,31.600469114377535,0.3761960608854468,35.81319453039651,5.149813966507515,13581.31945303965,25,12,13,48.0,1.5393637469167685,6.0183417714742955,0.24073367085897182,5.933708037281238,5.335557419760541,10593.370803728123,27.157770788347236
60,2,2.5,0,0.6,0.05,0,48,1,0.0,3.0,6,0,87,39,48,44.827586206896555,1.7644520141670756,31.966667642442,0.3674329614073793,36.1422518436199,5.301842156890251,13614.22518436199,30,14,16,46.666666666666664,1.5005112171275985,7.211213676638106,0.2403737892212702,7.122262607590324,6.670917336232318,10712.226260759033,26.981545036656794
60,2,1.5,0,0.6,0.05,0,24,1,0.1,3.0,6,0,103,47,56,45.63106796116505,1.72715260829635,35.04208272207666,0.34021439535996756,40.23663723684949,6.550091034828812,14023.66372368495,29,13,16,44.827586206896555,1.5165121212458161,6.868687030625409,0.23685127691811755,6.780588732282022,4.558226039416864,10678.058873228203,26.665266210379873
60,2,1.5,0,0.6,0.05,0,12,1,0.0,3.0,6,0,86,36,50,41.86046511627907,1.624818972137613,27.255352855320748,0.3169227076200087,29.8823247903385,8.929800588931027,12988.23247903385,21,9,12,42.857142857142854,1.4228718849346285,4.741447624189279,0.22578322019948946,4.587356187886682,5.088483522703257,10458.735618788669,25.19738199981817
