entry_time_utc,exit_time_utc,direction,poc,vah,val,entry,initial_stop,target,exit_reason,r_multiple,balance
2022-02-07 12:00:00+00:00,2022-02-07 16:38:00+00:00,long,14590.491796875,14672.7796875,14415.1828125,14689.974999999999,14639.20625,14842.281249999996,stop,-1.0083712913947906,9899.16287086052
2022-02-09 09:00:00+00:00,2022-02-09 15:00:00+00:00,long,14779.55234375,14790.9109375,14726.0046875,14862.074999999999,14771.989285714284,15132.332142857143,time,0.4573422137646939,9944.435921478287
2022-02-17 06:00:00+00:00,2022-02-17 12:00:00+00:00,long,14428.673828125,14479.7578125,14406.196875,14528.725,14466.032142857142,14716.803571428574,time,-0.07815882419960578,9936.663467288778
2022-02-22 11:00:00+00:00,2022-02-22 17:00:00+00:00,long,13696.299609375,13724.07890625,13678.621875,13929.975,13706.257500000002,14601.127499999997,time,-0.2505391844625457,9911.768231675043
2022-02-22 20:00:00+00:00,2022-02-23 03:15:00+00:00,long,13732.469921875,13762.6984375,13680.25703125,13933.575,13684.555357142857,14680.633928571431,time,-0.015259840374035232,9910.255711664646
2022-02-28 21:00:00+00:00,2022-03-01 04:15:00+00:00,long,14006.459375,14119.268750000001,13943.7875,14239.175,13997.819642857143,14963.241071428569,time,-0.14687886119310917,9895.699640934028
2022-03-02 17:00:00+00:00,2022-03-03 00:15:00+00:00,long,13953.773046875,14056.70703125,13944.74375,14170.125,13993.552678571428,14699.841964285715,time,0.23389849363626367,9918.845533328942
2022-03-11 06:00:00+00:00,2022-03-11 11:26:00+00:00,long,13442.09140625,13484.5875,13403.290625,13556.025,13458.472321428571,13848.683035714284,target,2.995643379492772,10215.978772870225
2022-03-16 15:00:00+00:00,2022-03-16 19:09:00+00:00,long,13457.6875,13620.699999999999,13422.25,13728.875,13602.84375,14106.96875,stop,-1.0033721795189627,10113.474483997683
2022-03-30 12:00:00+00:00,2022-03-30 12:13:00+00:00,long,15118.495703125,15171.771875,15076.2421875,15193.725,15164.91517857143,15280.154464285713,stop,-1.0147519137198746,10010.847808127746
2022-04-08 03:00:00+00:00,2022-04-08 09:00:00+00:00,long,14482.487109375,14524.4890625,14366.3640625,14550.875,14497.328214285713,14711.51535714286,time,0.583601790156795,10069.271295145852
2022-05-13 08:00:00+00:00,2022-05-13 14:00:00+00:00,long,12068.755078125001,12093.618750000001,11816.56640625,12144.575,12049.466071428573,12429.901785714284,time,1.266442612793618,10196.792837625377
2022-05-17 16:00:00+00:00,2022-05-17 23:15:00+00:00,long,12325.777734375,12359.359375,12250.864843750001,12469.675,12339.335714285713,12860.692857142858,time,0.7541855048636853,10273.695571167726
2022-05-27 13:00:00+00:00,2022-05-27 19:00:00+00:00,long,12251.619140625,12288.34453125,12237.151562500001,12417.275,12272.6375,12851.187499999996,time,1.4000518537723852,10417.53263646279
2022-06-27 08:00:00+00:00,2022-06-27 13:34:00+00:00,long,12101.71953125,12117.6140625,12061.371875,12214.475,12092.842142857144,12579.37357142857,stop,-1.0034941216541524,10312.993308834484
2022-07-04 16:00:00+00:00,2022-07-04 17:00:00+00:00,long,11510.880078125,11527.96015625,11504.1515625,11535.675,11516.86125,11592.116249999997,stop,-1.022589861138757,10207.533684878425
2022-07-18 14:00:00+00:00,2022-07-18 17:34:00+00:00,long,12032.20546875,12092.56875,12007.35,12142.725,12060.084821428572,12390.645535714284,stop,-1.0051427768834251,10104.933397346926
2022-07-22 07:00:00+00:00,2022-07-22 13:00:00+00:00,long,12452.596640625,12511.70734375,12397.29953125,12536.575,12498.441607142859,12650.975178571427,time,1.1722009674685623,10223.38352439268
2022-08-05 12:00:00+00:00,2022-08-05 12:30:00+00:00,long,13277.11953125,13308.6625,13243.053125,13316.925,13265.848214285714,13470.155357142856,stop,-1.0083208055098973,10120.299021289158
2022-08-25 14:00:00+00:00,2022-08-25 20:00:00+00:00,long,12963.23984375,12976.946875,12947.040625,13032.525,12938.632142857143,13314.20357142857,time,1.1443895017116883,10236.114660830623
2022-08-30 00:00:00+00:00,2022-08-30 06:00:00+00:00,long,12463.173046875,12500.203125,12448.086718749999,12523.275,12462.247321428571,12706.358035714286,time,0.24087431054411496,10260.770831446403
