symbol,lot,tp_money,sl_money,max_daily_wins,trades,wins,losses,win_rate,gross_win,gross_loss,net,end_balance,return_pct,profit_factor,max_dd_pct
XAUUSD..,0.1,150,500,2,96,46,50,47.91666666666667,5976.600000000003,4432.2999999999865,1544.3000000000166,1844.3000000000166,514.7666666666722,1.3484195564379715,116.35536398467461
XAUUSD..,0.1,150,1000,2,96,46,50,47.91666666666667,5976.600000000003,4432.2999999999865,1544.3000000000166,1844.3000000000166,514.7666666666722,1.3484195564379715,116.35536398467461
XAUUSD..,0.1,150,250,2,96,46,50,47.91666666666667,5976.600000000003,4743.199999999983,1233.4000000000196,1533.4000000000196,411.1333333333399,1.2600354191263332,123.34770114942518
XAUUSD..,0.1,200,500,2,110,46,64,41.81818181818181,6500.9000000000015,5454.8000000000275,1046.099999999974,1346.099999999974,348.69999999999135,1.1917760504509731,140.1727272727306
XAUUSD..,0.1,200,250,0,309,118,191,38.18770226537217,16622.79999999999,15596.80000000004,1025.999999999949,1325.999999999949,341.999999999983,1.0657827246614655,123.71603016880618
XAUUSD..,0.1,200,1000,2,110,46,64,41.81818181818181,6500.9000000000015,5480.30000000002,1020.5999999999813,1320.5999999999813,340.19999999999374,1.1862306808021417,142.49090909091177
XAUUSD..,0.1,100,500,3,133,69,64,51.8796992481203,6378.500000000004,5389.10000000003,989.3999999999733,1289.3999999999733,329.7999999999911,1.1835928077044344,132.48323754789487
XAUUSD..,0.1,100,1000,3,133,69,64,51.8796992481203,6378.500000000004,5389.10000000003,989.3999999999733,1289.3999999999733,329.7999999999911,1.1835928077044344,132.48323754789487
XAUUSD..,0.1,200,250,2,110,46,64,41.81818181818181,6500.9000000000015,5515.70000000002,985.1999999999816,1285.1999999999816,328.3999999999939,1.1786174012364665,122.75454545454811
BTCUSD,0.1,25,250,0,550,251,299,45.63636363636363,5620.650000000001,4707.630000000015,913.0199999999859,1213.0199999999859,304.3399999999953,1.1939447237782033,62.59163697423874
BTCUSD,0.1,25,500,0,550,251,299,45.63636363636363,5620.650000000001,4707.630000000015,913.0199999999859,1213.0199999999859,304.3399999999953,1.1939447237782033,62.59163697423874
BTCUSD,0.1,25,1000,0,550,251,299,45.63636363636363,5620.650000000001,4707.630000000015,913.0199999999859,1213.0199999999859,304.3399999999953,1.1939447237782033,62.59163697423874
XAUUSD..,0.1,100,500,2,83,46,37,55.42168674698795,4271.100000000006,3394.4999999999845,876.6000000000213,1176.6000000000213,292.2000000000071,1.2582412726469363,131.91120906801055
XAUUSD..,0.1,100,1000,2,83,46,37,55.42168674698795,4271.100000000006,3394.4999999999845,876.6000000000213,1176.6000000000213,292.2000000000071,1.2582412726469363,131.91120906801055
BTCUSD,0.1,25,100,0,550,250,300,45.45454545454545,5595.650000000001,4745.210000000014,850.4399999999869,1150.4399999999869,283.4799999999956,1.1792207299571535,74.95187779006369
XAUUSD..,0.05,100,100,0,309,118,191,38.18770226537217,8311.399999999994,7471.650000000016,839.7499999999782,1139.7499999999782,279.9166666666594,1.1123915065614658,88.51331287736673
XAUUSD..,0.1,150,250,0,344,143,201,41.56976744186046,17778.499999999993,16970.20000000001,808.2999999999811,1108.299999999981,269.433333333327,1.0476305523800533,199.67889461905543
XAUUSD..,0.1,150,500,3,166,69,97,41.566265060240966,8865.499999999996,8068.900000000049,796.5999999999476,1096.5999999999476,265.53333333331585,1.0987247332350063,247.6762402088828
XAUUSD..,0.1,100,250,2,83,46,37,55.42168674698795,4271.100000000006,3476.3999999999805,794.7000000000253,1094.7000000000253,264.90000000000845,1.2285985502243786,141.10516372795962
XAUUSD..,0.1,150,250,3,166,69,97,41.566265060240966,8865.499999999996,8083.2000000000335,782.2999999999629,1082.299999999963,260.7666666666543,1.096780977830557,227.53888380604263
XAUUSD..,0.1,150,1000,3,166,69,97,41.566265060240966,8865.499999999996,8094.4000000000415,771.0999999999549,1071.099999999955,257.0333333333183,1.0952633919746926,252.1148825065316
XAUUSD..,0.05,200,100,2,121,46,75,38.01652892561984,3644.2500000000064,2891.0000000000105,753.2499999999959,1053.249999999996,251.08333333333195,1.260549982704944,71.49457613499824
