case,period,history_quality_pct,bars,ticks,initial_stop_atr,trailing_atr,trail_start_r,close_at_session_end,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph
eod-sl3-tr5,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,3.0,5.0,0.0,True,10000.0,18639.95,8639.95,86.3995,138757.1,-130117.15,1.07,5914.12,29.48,5533.69,27.93,1405,451,954,32.1,715,34.13,690,30.0,1273.08,-198.01,307.67,-132.77,6.15,1.46,1.55,-3455.1100000000088,-172.2,27.439500000000002,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr5.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr5.png
eod-sl4-tr5,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,4.0,5.0,0.0,True,10000.0,16273.45,6273.45,62.73449999999999,101210.38,-94936.93,1.07,4379.73,26.23,4218.59,25.33,1405,502,903,35.73,715,38.88,690,32.46,817.05,-166.14,201.61,-102.58,4.47,1.43,1.39,-2307.040000000002,-168.31,10.274499999999989,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl4-tr5.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl4-tr5.png
eod-sl3-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,3.0,4.0,0.0,True,10000.0,15896.35,5896.35,58.9635,107370.25,-101473.9,1.06,4805.34,29.0,4568.01,27.82,1405,456,949,32.46,715,35.52,690,29.28,1121.07,-163.96,235.46,-103.69,4.2,1.23,1.46,-3076.0300000000043,-68.66,0.9635000000000034,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr4.png
eod-sl4-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,4.0,4.0,0.0,True,10000.0,14835.21,4835.21,48.3521,75571.91,-70736.7,1.07,3063.42,24.28,2885.42,23.07,1405,478,927,34.02,715,37.62,690,30.29,726.8,-135.17,158.1,-74.07,3.44,1.58,1.54,-2075.510000000001,-47.57,-0.2079000000000022,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl4-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl4-tr4.png
hold-sl3-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,3.0,4.0,0.0,False,10000.0,14761.73,4761.73,47.61729999999999,103151.36,-98389.63,1.05,4868.34,30.45,4641.1,29.3,1405,456,949,32.46,715,35.52,690,29.28,1156.54,-158.07,226.21,-100.52,3.39,0.98,1.21,-2995.6100000000097,-364.4800000000001,-13.282700000000006,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl3-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl3-tr4.png
eod-sl3-tr25-start05,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,3.0,2.5,0.5,True,10000.0,13555.55,3555.55,35.5555,80188.99,-76633.44,1.05,5558.96,34.29,5419.15,33.64,1405,570,835,40.57,715,41.96,690,39.13,985.23,-161.01,140.68,-88.31,2.53,0.64,1.64,-2896.4200000000023,0.0,-33.024499999999996,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr25-start05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr25-start05.png
eod-sl4-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,4.0,3.0,0.0,True,10000.0,11357.29,1357.29,13.572899999999999,48745.42,-47388.13,1.03,3005.8,24.47,2930.88,23.99,1405,442,963,31.46,715,32.59,690,30.29,665.04,-95.48,110.28,-47.27,0.97,0.45,0.89,-1868.2300000000012,0.0,-35.3671,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl4-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl4-tr3.png
eod-sl25-tr25-long,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,2.5,0.0,True,10000.0,12086.86,2086.86,20.8686,40351.48,-38264.62,1.05,4126.38,28.48,3986.43,27.75,715,233,482,32.59,715,32.59,0,0.0,1149.97,-140.7,173.18,-75.66,2.92,0.51,2.25,-1794.2600000000011,0.0,-36.0914,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr25-long.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr25-long.png
eod-sl2-tr25-long,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,2.5,0.0,True,10000.0,12850.79,2850.79,28.507899999999996,51672.6,-48821.81,1.06,5373.45,33.68,5042.18,32.23,715,228,487,31.89,715,31.89,0,0.0,1564.21,-156.34,226.63,-95.33,3.99,0.53,2.52,-2396.010000000002,0.0,-38.85210000000001,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr25-long.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr25-long.png
hold-sl2-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,3.0,0.0,False,10000.0,14376.6,4376.6,43.766000000000005,107095.6,-102719.0,1.04,7887.35,44.9,7455.76,43.47,1405,412,993,29.32,715,29.79,690,28.84,1822.84,-169.8,259.94,-99.05,3.12,0.55,1.43,-4363.39,0.0,-46.03399999999999,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl2-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl2-tr3.png
