case,period,history_quality_pct,bars,ticks,initial_stop_atr,trailing_atr,trail_start_r,close_at_session_end,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph
sl25-tr25,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,2.5,0.0,True,10000.0,11557.04,1557.04,15.570400000000001,68225.51,-66668.47,1.02,5046.83,35.74,4896.11,34.97,1405,446,959,31.74,715,32.59,690,30.87,946.2,-134.16,152.97,-66.17,1.11,0.31,0.96,-3208.200000000007,0.0,-55.909600000000005,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl25-tr25.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl25-tr25.png
sl2-tr25,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,2.5,0.0,True,10000.0,12143.66,2143.66,21.4366,86131.19,-83987.53,1.03,6034.19,40.08,5807.29,39.06,1405,437,968,31.1,715,31.89,690,30.29,1188.43,-147.7,197.1,-82.46,1.53,0.36,1.08,-4162.060000000001,0.0,-58.7234,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl2-tr25.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl2-tr25.png
sl25-tr1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,1.0,0.0,True,10000.0,5660.27,-4339.73,-43.397299999999994,16228.61,-20568.34,0.79,4824.07,47.17,4772.41,46.82,1405,502,903,35.73,715,33.71,690,37.83,352.17,-77.09,32.33,-20.19,-3.09,-0.9,-5.0,-2332.9200000000037,0.0,-137.7373,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl25-tr1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl25-tr1.png
sl15-tr25,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,1.5,2.5,0.0,True,10000.0,8563.0,-1437.0,-14.37,84322.4,-85759.4,0.98,8987.65,62.36,8756.61,61.69,1404,398,1006,28.35,714,28.15,690,28.55,1389.88,-141.86,211.87,-80.49,-1.02,-0.16,-0.76,-4783.730000000006,0.0,-139.09,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl15-tr25.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl15-tr25.png
sl25-tr2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,2.0,0.0,True,10000.0,5907.09,-4092.91,-40.9291,30294.78,-34387.69,0.88,5892.07,54.79,5826.91,54.48,1405,467,938,33.24,715,33.15,690,33.33,589.05,-99.98,64.87,-34.4,-2.91,-0.69,-5.0,-2116.220000000004,0.0,-150.5091,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl25-tr2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl25-tr2.png
sl2-tr1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,1.0,0.0,True,10000.0,4891.13,-5108.87,-51.088699999999996,19168.59,-24277.46,0.79,5668.98,55.13,5607.73,54.75,1405,502,903,35.73,715,33.71,690,37.83,406.52,-88.94,38.18,-23.81,-3.64,-0.9,-5.0,-2775.240000000001,0.0,-161.3487,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl2-tr1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl2-tr1.png
sl2-tr2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,2.0,0.0,True,10000.0,5213.56,-4786.44,-47.864399999999996,35046.1,-39832.54,0.88,6886.77,62.74,6805.33,62.42,1405,466,939,33.17,715,33.01,690,33.33,679.9,-100.0,75.21,-39.77,-3.41,-0.7,-5.0,-2484.5400000000054,0.0,-173.3444,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl2-tr2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl2-tr2.png
sl25-tr15,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,1.5,0.0,True,10000.0,4574.86,-5425.14,-54.251400000000004,21025.64,-26450.78,0.79,6365.56,60.41,6285.03,60.06,1405,472,933,33.59,715,33.71,690,33.48,631.55,-88.48,44.55,-26.08,-3.86,-0.85,-5.0,-2116.0000000000014,0.0,-175.07139999999998,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl25-tr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl25-tr15.png
sl15-tr1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,1.5,1.0,0.0,True,10000.0,3657.7200000000003,-6342.28,-63.4228,22809.79,-29152.07,0.78,7111.11,67.73,7035.94,67.37,1404,499,905,35.54,714,33.75,690,37.39,454.35,-95.35,45.71,-28.5,-4.52,-0.89,-5.0,-3357.8300000000045,0.0,-198.8828,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl15-tr1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl15-tr1.png
sl2-tr15,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,1.5,0.0,True,10000.0,3743.2700000000004,-6256.73,-62.56729999999999,24181.23,-30437.96,0.79,7344.71,68.76,7245.52,68.43,1405,472,933,33.59,715,33.71,690,33.48,726.29,-100.0,51.23,-29.98,-4.45,-0.85,-5.0,-2467.910000000006,0.0,-200.0873,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl2-tr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Core\sl2-tr15.png
