case,period,history_quality_pct,bars,ticks,initial_stop_atr,trailing_atr,trail_start_r,close_at_session_end,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph
wide-sl4-tr6-start1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,4.0,6.0,1.0,True,10000.0,23807.09,13807.09,138.0709,149239.13,-135432.04,1.1,6649.96,29.04,6363.89,27.95,1398,535,863,38.27,711,42.05,687,34.35,1263.96,-239.44,278.95,-153.74,9.88,2.08,1.9,-2753.0800000000027,-710.3399999999999,79.9909,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr6-start1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr6-start1.png
wide-sl4-tr6-start2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,4.0,6.0,2.0,True,10000.0,17288.71,7288.71,72.8871,114809.4,-107520.69,1.07,4156.25,26.01,3819.51,24.24,1391,511,880,36.74,706,39.94,685,33.43,1119.88,-174.29,224.68,-119.75,5.24,1.75,1.12,-2141.699999999999,-608.9,20.8671,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr6-start2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr6-start2.png
wide-sl6-tr4-start1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,6.0,4.0,1.0,True,10000.0,15068.48,5068.48,50.684799999999996,79910.29,-74841.81,1.07,3703.78,25.76,3595.26,25.05,1389,668,721,48.09,702,49.43,687,46.72,561.37,-151.77,119.63,-101.89,3.65,1.37,1.08,-1378.1500000000003,-491.52000000000004,-0.8352000000000075,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr4-start1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr4-start1.png
wide-sl6-tr6-start1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,6.0,6.0,1.0,True,10000.0,15139.45,5139.45,51.3945,85471.17,-80331.72,1.06,4068.68,26.64,3871.97,25.6,1389,626,763,45.07,702,47.58,687,42.5,785.88,-152.88,136.54,-103.43,3.7,1.26,0.98,-1412.6399999999992,-543.79,-1.8855000000000004,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr6-start1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr6-start1.png
wide-sl4-tr25-start2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,4.0,2.5,2.0,True,10000.0,15097.61,5097.61,50.9761,99071.91,-93974.3,1.05,3238.27,26.62,3099.36,25.72,1391,538,853,38.68,706,41.22,685,36.06,780.81,-151.77,184.15,-107.88,3.66,1.57,1.02,-1955.9400000000014,-475.87,-2.2638999999999996,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr25-start2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr25-start2.png
wide-sl6-tr6-start2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,6.0,6.0,2.0,True,10000.0,15367.76,5367.76,53.677600000000005,95644.64,-90276.88,1.06,5167.94,29.16,4963.22,28.21,1376,600,776,43.6,698,45.85,678,41.3,788.06,-174.62,159.41,-114.42,3.9,1.04,0.94,-1489.5699999999986,-648.9100000000001,-4.642399999999995,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr6-start2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr6-start2.png
wide-sl4-tr4-start2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,4.0,4.0,2.0,True,10000.0,14717.529999999999,4717.53,47.1753,98538.57,-93821.04,1.05,3410.68,28.64,3230.33,27.35,1391,528,863,37.96,706,40.79,685,35.04,723.41,-147.85,186.63,-106.47,3.39,1.38,0.87,-1933.2999999999993,-550.86,-10.104700000000001,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr4-start2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr4-start2.png
wide-sl6-tr25-start2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,6.0,2.5,2.0,True,10000.0,13972.89,3972.89,39.7289,86276.74,-82303.85,1.05,4153.21,27.04,3987.27,26.15,1377,603,774,43.79,698,45.99,679,41.53,584.85,-153.83,143.08,-104.55,2.89,0.96,0.79,-1383.6599999999978,-573.1100000000001,-14.351099999999995,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr25-start2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr25-start2.png
wide-sl6-tr4-start2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,6.0,4.0,2.0,True,10000.0,13737.57,3737.57,37.3757,84427.53,-80689.96,1.05,4324.78,28.23,4136.2,27.2,1376,603,773,43.82,698,45.99,678,41.59,550.32,-151.89,140.01,-102.63,2.72,0.86,0.72,-1355.6799999999994,-592.5400000000001,-19.0843,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr4-start2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr4-start2.png
wide-sl4-tr4-start1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,4.0,4.0,1.0,True,10000.0,13842.23,3842.23,38.4223,86875.46,-83033.23,1.05,4475.74,31.98,4264.92,30.74,1400,573,827,40.93,711,43.46,689,38.32,683.47,-146.49,151.62,-98.06,2.74,0.86,0.88,-1939.740000000005,-325.53,-25.5377,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr4-start1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl4-tr4-start1.png
wide-sl6-tr25-start1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,6.0,2.5,1.0,True,10000.0,13052.03,3052.03,30.5203,73169.1,-70117.07,1.04,3849.72,29.41,3680.84,28.32,1392,697,695,50.07,703,51.49,689,48.62,602.94,-131.49,104.98,-99.0,2.19,0.79,0.8,-1309.3500000000004,-397.08,-28.2997,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr25-start1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl6-tr25-start1.png
wide-sl8-tr6-start2,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,8.0,6.0,2.0,True,10000.0,11651.97,1651.97,16.5197,66689.18,-65037.21,1.03,3344.04,24.45,3216.23,23.71,1362,640,722,46.99,690,49.86,672,44.05,609.06,-149.16,104.2,-88.71,1.21,0.49,0.38,-986.83,-607.5099999999998,-32.3803,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl8-tr6-start2.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\982 Claim Recheck\Training Screen\wide-sl8-tr6-start2.png
