ea,kind,event_epoch,event_time_utc,trades,net_profit,inside_fxmacrodata_verified_window,exact_fxmacrodata_timestamp_match
News Pulse EURUSD — fresh MT5 Standard run,CPI,1755001800,2025-08-12T12:30:00+00:00,1,321.87,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1757075400,2025-09-05T12:30:00+00:00,1,488.26,False,
News Pulse EURUSD — fresh MT5 Standard run,CPI,1757593800,2025-09-11T12:30:00+00:00,2,168.74,False,
News Pulse EURUSD — fresh MT5 Standard run,FOMC,1758132000,2025-09-17T18:00:00+00:00,1,180.15,False,
News Pulse EURUSD — fresh MT5 Standard run,CPI,1761309000,2025-10-24T12:30:00+00:00,1,282.86,False,
News Pulse EURUSD — fresh MT5 Standard run,FOMC,1761760800,2025-10-29T18:00:00+00:00,1,12.15,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1763645400,2025-11-20T13:30:00+00:00,2,5.71,False,
News Pulse EURUSD — fresh MT5 Standard run,FOMC,1765393200,2025-12-10T19:00:00+00:00,2,17.15,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1765891800,2025-12-16T13:30:00+00:00,1,92.23,False,
News Pulse EURUSD — fresh MT5 Standard run,CPI,1766064600,2025-12-18T13:30:00+00:00,1,153.36,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1767965400,2026-01-09T13:30:00+00:00,1,-31.39,False,
News Pulse EURUSD — fresh MT5 Standard run,CPI,1768311000,2026-01-13T13:30:00+00:00,1,104.39,False,
News Pulse EURUSD — fresh MT5 Standard run,FOMC,1769626800,2026-01-28T19:00:00+00:00,1,40.42,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1770816600,2026-02-11T13:30:00+00:00,1,710.74,False,
News Pulse EURUSD — fresh MT5 Standard run,CPI,1770989400,2026-02-13T13:30:00+00:00,1,206.7,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1772803800,2026-03-06T13:30:00+00:00,1,123.22,False,
News Pulse EURUSD — fresh MT5 Standard run,CPI,1773232200,2026-03-11T12:30:00+00:00,1,-7.2,False,
News Pulse EURUSD — fresh MT5 Standard run,FOMC,1773856800,2026-03-18T18:00:00+00:00,1,-16.8,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1775219400,2026-04-03T12:30:00+00:00,1,71.2,False,
News Pulse EURUSD — fresh MT5 Standard run,CPI,1775824200,2026-04-10T12:30:00+00:00,1,-7.25,False,
News Pulse EURUSD — fresh MT5 Standard run,FOMC,1777485600,2026-04-29T18:00:00+00:00,1,-49.11,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1778243400,2026-05-08T12:30:00+00:00,1,-103.2,False,
News Pulse EURUSD — fresh MT5 Standard run,NFP,1780662600,2026-06-05T12:30:00+00:00,1,177.28,False,
News Pulse EURUSD — fresh MT5 Standard run,CPI,1781094600,2026-06-10T12:30:00+00:00,1,-34.62,False,
News Pulse EURUSD — fresh MT5 Standard run,FOMC,1781719200,2026-06-17T18:00:00+00:00,1,644.8,True,True
News Pulse EURUSD — fresh MT5 Standard run,NFP,1782995400,2026-07-02T12:30:00+00:00,1,533.19,True,True
News Pulse EURUSD — fresh MT5 Standard run,CPI,1784032200,2026-07-14T12:30:00+00:00,1,643.28,True,True
News Pulse EURUSD — fresh MT5 Standard run,FOMC,1785348000,2026-07-29T18:00:00+00:00,2,274.16,True,True
News Pulse EURUSD — fresh MT5 Standard run,NFP,1786105800,2026-08-07T12:30:00+00:00,1,561.93,True,True
News Pulse EURUSD — fresh MT5 Standard run,CPI,1786537800,2026-08-12T12:30:00+00:00,2,-32.98,True,True
