symbol,trades,wins,losses,win_rate_pct,profit_factor,net_r,ending_balance,return_pct,max_drawdown_pct,london_trades,new_york_trades,new_york_limit_trades,new_york_stop_trades,new_york_limit_win_rate_pct,new_york_limit_profit_factor_r,new_york_limit_net_r,new_york_stop_win_rate_pct,new_york_stop_profit_factor_r,new_york_stop_net_r,both_filled_days,limit_only_days,stop_only_days,max_concurrent_trades,max_planned_exposure_pct,locked_stop_exits
EURUSD,11,4,7,36.36363636363637,1.0962304389439619,1.0,1020.0597256114328,2.0059725611432766,14.353818453200223,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,3.0,0
GBPJPY,9,4,5,44.44444444444444,1.516677229650345,3.0,1084.131922214298,8.4131922214298,8.732699999999987,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,3.0,0
