time,balance
2025-08-11 00:00:00,10000.00
2025-08-11 13:35:00,9998.45
2025-08-11 13:40:31,9898.51
2025-08-12 10:20:00,9896.13
2025-08-12 11:00:38,9796.95
2025-08-12 11:55:00,9795.07
2025-08-12 12:27:02,9990.72
2025-08-14 12:40:00,9989.66
2025-08-14 14:23:41,10047.29
2025-08-14 18:55:00,10046.04
2025-08-14 19:14:44,9945.84
2025-08-15 10:05:00,9943.46
2025-08-15 10:58:42,10145.01
2025-08-19 09:25:00,10142.30
2025-08-19 10:00:12,10346.68
2025-08-19 16:50:00,10345.70
2025-08-19 18:04:14,10242.71
2025-08-20 18:25:00,10241.92
2025-08-20 19:12:41,10445.66
2025-08-21 08:55:00,10443.87
2025-08-21 09:02:04,10338.34
2025-08-25 11:05:00,10335.19
2025-08-25 12:04:39,10230.36
2025-08-25 17:30:00,10228.77
2025-08-25 17:40:24,10126.51
2025-08-26 14:20:00,10125.73
2025-08-26 19:18:40,10024.98
2025-08-27 13:10:00,10022.85
2025-08-27 13:36:40,10222.77
2025-08-29 07:40:00,10220.58
2025-08-29 08:04:27,10118.03
2025-09-01 12:50:00,10115.64
2025-09-01 13:53:25,10319.40
2025-09-02 13:50:00,10318.87
2025-09-02 14:25:32,10411.02
2025-09-03 14:05:00,10410.29
2025-09-03 15:29:36,10420.61
2025-09-03 17:50:00,10419.61
2025-09-03 19:44:25,10628.09
2025-09-04 07:05:00,10626.43
2025-09-04 08:06:13,10636.80
2025-09-04 10:20:00,10634.69
2025-09-04 11:53:37,10847.29
2025-09-05 12:35:00,10846.13
2025-09-05 13:29:26,10906.21
2025-09-08 11:10:00,10903.33
2025-09-08 12:06:39,11121.83
2025-09-09 13:35:00,11120.60
2025-09-09 13:45:40,11009.66
2025-09-12 10:35:00,11006.12
2025-09-12 11:07:34,10895.55
2025-09-15 07:40:00,10892.91
2025-09-15 08:01:35,11111.18
2025-09-15 08:25:00,11109.62
2025-09-15 13:39:16,11334.22
2025-09-16 07:35:00,11331.90
2025-09-16 08:24:20,11343.40
2025-09-16 14:15:00,11342.76
2025-09-16 20:00:00,11408.89
2025-09-17 07:40:00,11406.37
2025-09-17 09:27:04,11290.71
2025-09-19 07:10:00,11289.58
2025-09-19 09:06:26,11427.46
2025-09-19 12:35:00,11425.07
2025-09-19 13:04:28,11309.71
2025-09-22 12:40:00,11307.42
2025-09-22 13:33:32,11194.33
2025-09-24 11:20:00,11191.39
2025-09-24 12:09:35,11078.12
2025-09-24 12:35:00,11075.92
2025-09-24 13:01:15,10965.39
2025-09-25 10:10:00,10962.93
2025-09-25 11:01:37,11183.80
2025-09-25 14:15:00,11183.25
2025-09-25 18:03:43,11404.83
2025-09-26 13:55:00,11404.06
2025-09-26 14:15:41,11635.05
2025-09-29 09:50:00,11632.06
2025-09-29 10:15:32,11515.91
2025-09-29 19:55:00,11514.76
2025-09-29 20:00:00,11463.98
2025-09-30 13:50:00,11462.77
2025-09-30 13:56:38,11348.50
2025-10-01 12:45:00,11347.27
2025-10-01 13:30:39,11234.19
2025-10-02 11:55:00,11231.25
2025-10-02 13:29:16,11242.06
2025-10-03 11:40:00,11239.44
2025-10-03 12:45:37,11127.15
2025-10-03 18:10:00,11126.45
2025-10-03 20:00:00,11096.55
2025-10-06 13:30:00,11094.87
2025-10-06 13:35:39,11316.24
2025-10-08 13:30:00,11313.95
2025-10-08 13:30:42,11540.14
2025-10-10 09:35:00,11537.19
2025-10-10 09:49:17,11422.02
2025-10-10 10:00:00,11419.61
2025-10-10 11:20:04,11545.89
2025-10-14 11:00:00,11544.99
2025-10-14 11:27:02,11775.82
2025-10-14 13:50:00,11775.29
2025-10-14 14:14:39,12008.53
2025-10-16 13:35:00,12007.44
2025-10-16 13:53:43,11887.55
2025-10-20 14:20:00,11886.86
2025-10-20 14:41:29,11768.42
2025-10-21 10:35:00,11766.34
2025-10-21 10:48:28,11647.79
2025-10-22 10:35:00,11645.18
2025-10-22 12:01:40,11656.02
2025-10-22 14:35:00,11655.32
2025-10-22 16:30:20,11539.51
2025-10-24 11:20:00,11536.79
2025-10-24 11:55:23,11421.51
2025-10-28 13:10:00,11420.11
2025-10-28 13:31:32,11306.09
2025-10-29 18:10:00,11305.15
2025-10-29 18:15:41,11192.65
2025-10-29 18:20:00,11191.82
2025-10-29 18:35:30,11080.23
2025-10-31 19:05:00,11079.27
2025-10-31 19:21:39,10968.50
2025-11-04 07:10:00,10967.55
2025-11-04 08:14:27,10857.65
2025-11-04 15:10:00,10857.14
2025-11-04 20:00:00,10994.00
2025-11-06 15:10:00,10993.51
2025-11-06 16:18:29,10884.41
2025-11-07 11:20:00,10883.20
2025-11-07 12:49:30,10773.96
2025-11-10 15:05:00,10773.29
2025-11-10 15:51:27,10666.40
2025-11-11 15:45:00,10665.78
2025-11-11 16:47:05,10559.65
2025-11-12 08:35:00,10557.22
2025-11-12 11:08:37,10451.02
2025-11-12 14:30:00,10448.76
2025-11-12 14:30:28,10344.43
2025-11-13 08:05:00,10342.35
2025-11-13 09:07:33,10239.10
2025-11-13 13:25:00,10237.54
2025-11-13 13:34:55,10135.20
2025-11-14 08:20:00,10134.09
2025-11-14 09:30:30,10190.20
2025-11-14 12:45:00,10189.31
2025-11-14 13:40:02,10087.78
2025-11-17 14:35:00,10086.90
2025-11-17 15:33:40,9986.65
2025-11-18 12:20:00,9985.67
2025-11-18 12:45:39,9885.67
2025-11-18 18:45:00,9885.28
2025-11-18 20:00:00,9866.32
2025-11-19 14:35:00,9865.30
2025-11-19 14:51:03,9766.52
2025-11-20 15:35:00,9766.17
2025-11-20 16:22:28,9961.22
2025-11-21 18:55:00,9960.84
2025-11-21 20:00:00,10010.19
2025-11-25 12:10:00,10008.26
2025-11-25 12:43:21,9907.85
2025-11-26 12:15:00,9906.63
2025-11-26 14:17:34,10104.56
2025-11-28 16:25:00,10103.61
2025-11-30 23:00:00,10090.99
2025-12-09 13:40:00,10089.38
2025-12-09 14:30:31,10290.87
2025-12-09 18:50:00,10290.08
2025-12-09 20:00:00,10298.27
2025-12-10 08:00:00,10294.64
2025-12-10 08:14:02,10303.94
2025-12-11 14:25:00,10302.62
2025-12-11 14:29:39,10199.86
2025-12-12 15:35:00,10199.40
2025-12-12 15:58:30,10098.59
2025-12-12 16:15:00,10098.21
2025-12-12 20:00:00,10106.81
2025-12-17 08:35:00,10105.40
2025-12-17 09:46:49,10004.60
2025-12-17 13:15:00,10002.42
2025-12-17 13:19:14,9902.26
2025-12-19 15:20:00,9901.85
2025-12-19 20:00:00,9915.64
2025-12-23 07:30:00,9910.21
2025-12-23 08:05:30,9811.14
2025-12-24 15:20:00,9810.37
2025-12-24 16:01:31,9712.71
2025-12-26 08:05:00,9709.08
2025-12-26 08:13:02,9612.05
2025-12-26 13:50:00,9609.59
2025-12-26 14:16:33,9510.55
2025-12-29 15:10:00,9509.97
2025-12-29 16:40:37,9415.21
2026-01-07 08:05:00,9411.67
2026-01-07 08:50:12,9317.55
2026-01-09 08:15:00,9315.17
2026-01-09 09:20:05,9382.23
2026-01-14 08:10:00,9379.49
2026-01-14 09:10:28,9284.01
2026-01-15 13:00:00,9283.12
2026-01-15 13:30:56,9190.39
2026-01-16 13:00:00,9188.82
2026-01-16 14:30:38,9372.55
2026-01-16 15:45:00,9372.11
2026-01-16 19:10:28,9490.61
2026-01-20 11:30:00,9489.36
2026-01-20 11:45:38,9394.16
2026-01-20 12:55:00,9393.15
2026-01-20 13:33:41,9580.91
2026-01-22 14:25:00,9579.77
2026-01-22 14:30:30,9484.43
2026-01-23 09:55:00,9483.07
2026-01-23 13:16:27,9387.16
2026-01-23 14:55:00,9386.52
2026-01-23 16:32:40,9395.79
2026-01-26 08:30:00,9394.16
