time,balance
2025-08-11 00:00:00,10000.00
2025-08-11 16:15:00,9998.68
2025-08-11 16:44:40,9898.69
2025-08-12 15:00:00,9897.97
2025-08-12 22:00:00,10084.83
2025-08-13 12:30:00,10081.60
2025-08-13 13:32:30,10333.67
2025-08-14 12:15:00,10329.72
2025-08-14 12:26:38,10225.12
2025-08-22 13:45:00,10223.44
2025-08-22 13:57:19,10121.01
2025-08-22 14:15:00,10120.23
2025-08-22 14:22:40,10019.72
2025-08-25 15:00:00,10018.39
2025-08-25 19:57:20,9918.37
2025-08-28 12:45:00,9916.15
2025-08-28 13:31:28,10163.76
2025-08-28 15:00:00,10162.88
2025-08-28 22:00:00,10226.80
2025-09-05 12:45:00,10224.76
2025-09-05 13:35:29,10270.30
2025-09-08 13:15:00,10267.52
2025-09-08 13:37:29,10524.20
2025-09-08 13:45:00,10521.96
2025-09-08 15:48:01,10532.34
2025-09-10 12:45:00,10530.11
2025-09-10 13:03:38,10424.56
2025-09-11 14:45:00,10423.55
2025-09-11 22:00:00,10439.10
2025-09-12 14:45:00,10437.32
2025-09-12 19:28:29,10565.54
2025-09-15 13:45:00,10563.30
2025-09-15 15:49:41,10826.73
2025-09-15 20:00:00,10824.70
2025-09-15 22:00:00,10764.09
2025-09-18 14:15:00,10763.04
2025-09-18 22:00:00,10714.39
2025-09-19 13:30:00,10711.81
2025-09-19 13:34:41,10604.60
2025-09-22 14:30:00,10602.91
2025-09-22 18:16:28,10867.98
2025-09-26 12:45:00,10866.41
2025-09-26 12:54:37,10757.83
2025-09-29 12:45:00,10755.29
2025-09-29 13:27:37,10647.86
2025-09-29 13:45:00,10645.98
2025-09-29 14:20:41,10656.58
2025-10-01 14:30:00,10655.59
2025-10-01 22:00:00,10852.34
2025-10-02 13:15:00,10849.19
2025-10-02 13:30:30,10740.73
2025-10-06 12:15:00,10738.66
2025-10-06 12:34:02,10631.32
2025-10-07 12:45:00,10628.31
2025-10-07 13:22:39,10638.75
2025-10-08 13:45:00,10636.99
2025-10-08 14:10:43,10902.38
2025-10-08 14:15:00,10900.94
2025-10-08 19:54:37,11172.66
2025-10-10 13:45:00,11170.55
2025-10-10 13:50:42,11058.94
2025-10-15 14:15:00,11057.86
2025-10-15 15:34:30,10947.49
2025-10-16 12:45:00,10945.78
2025-10-16 13:25:40,10836.33
2025-10-16 14:45:00,10835.42
2025-10-16 15:04:43,10727.29
2025-10-17 14:00:00,10726.75
2025-10-17 15:35:42,10620.22
