date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-25,2026-05-25 23:30:00,2026-05-25 23:30:00,AUDUSD,SELL,win,0.9293,20.0,24.27,1
2026-05-26,2026-05-26 23:30:00,2026-05-26 23:45:00,AUDUSD,BUY,win,0.9829,24.27,29.76,2
2026-05-27,2026-05-27 23:30:00,2026-05-28 00:00:00,AUDUSD,SELL,win,1.1592,29.76,37.7,3
2026-05-28,2026-05-28 23:30:00,2026-05-29 00:00:00,AUDUSD,SELL,loss,-1.375,37.7,25.78,1
2026-05-29,2026-05-30 00:00:00,2026-05-30 03:00:00,BTCUSD,BUY,win,1.3043,25.78,33.51,2
2026-05-30,2026-05-30 23:30:00,2026-05-31 00:15:00,BTCUSD,SELL,loss,-1.0001,33.51,25.8,1
2026-05-31,2026-05-31 23:30:00,2026-06-01 00:00:00,AUDUSD,BUY,loss,-1.2045,25.8,18.65,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 00:15:00,XAUUSD,SELL,loss,-1.0004,18.65,14.36,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 00:15:00,AUDUSD,SELL,loss,-1.1452,14.36,10.58,1
2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,AUDUSD,SELL,timeout,-0.3882,10.58,9.63,1
2026-06-04,2026-06-04 23:30:00,2026-06-04 23:45:00,AUDUSD,SELL,win,0.9829,9.63,11.81,1
2026-06-05,2026-06-05 23:30:00,2026-06-06 04:30:00,BTCUSD,SELL,win,1.3043,11.81,15.36,1
2026-06-06,2026-06-06 23:30:00,2026-06-07 01:00:00,BTCUSD,BUY,win,1.3043,15.36,19.96,1
2026-06-07,2026-06-07 23:30:00,2026-06-08 00:15:00,AUDUSD,BUY,win,1.1843,19.96,25.4,1
2026-06-08,2026-06-08 23:30:00,2026-06-08 23:45:00,AUDUSD,SELL,win,0.9582,25.4,31.0,2
2026-06-09,2026-06-09 23:30:00,2026-06-09 23:45:00,AUDUSD,SELL,loss,-1.1364,31.0,22.89,1
2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,AUDUSD,BUY,timeout,0.4298,22.89,25.16,1
2026-06-11,2026-06-11 23:30:00,2026-06-12 01:00:00,AUDUSD,SELL,win,1.1739,25.16,31.95,2
2026-06-12,2026-06-12 23:30:00,2026-06-13 00:45:00,BTCUSD,BUY,win,1.3043,31.95,41.54,3
2026-06-13,2026-06-13 23:45:00,2026-06-14 01:00:00,BTCUSD,SELL,loss,-1.0001,41.54,31.98,2
2026-06-14,2026-06-14 23:30:00,2026-06-15 01:15:00,US30,BUY,win,1.2786,31.98,41.39,3
2026-06-15,2026-06-15 23:30:00,2026-06-16 00:00:00,AUDUSD,BUY,loss,-1.3333,41.39,28.69,2
2026-06-16,2026-06-16 23:30:00,2026-06-17 00:00:00,XAUUSD,SELL,loss,-1.0006,28.69,22.09,1
2026-06-17,2026-06-17 23:30:00,2026-06-18 00:00:00,AUDUSD,BUY,win,1.095,22.09,27.65,2
2026-06-18,2026-06-18 23:30:00,2026-06-18 23:30:00,AUDUSD,SELL,win,0.7749,27.65,32.58,2
2026-06-19,2026-06-19 23:30:00,2026-06-19 23:45:00,BTCUSD,BUY,win,1.3042,32.58,42.36,3
2026-06-20,2026-06-20 23:30:00,2026-06-21 00:15:00,BTCUSD,BUY,loss,-1.0001,42.36,32.61,2
2026-06-21,2026-06-21 23:30:00,2026-06-22 00:30:00,AUDUSD,SELL,loss,-1.2647,32.61,23.13,1
2026-06-22,2026-06-22 23:30:00,2026-06-23 00:00:00,AUDUSD,SELL,win,0.994,23.13,28.41,2
2026-06-23,2026-06-23 23:30:00,2026-06-23 23:45:00,AUDUSD,SELL,loss,-1.3913,28.41,19.32,1
2026-06-24,2026-06-24 23:30:00,2026-06-24 23:30:00,XAUUSD,BUY,win,1.3041,19.32,25.12,1
