symbol,broker_symbol,candles,days,status
AUDUSD,AUDUSDm,2697,27,ok
XAUUSD,XAUUSDm,2559,27,ok
BTCUSD,BTCUSDm,3657,31,ok
US30,US30m,2553,27,ok
