symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr
AUDUSD,30,1.3043478260869565,2026-05,2026-05-25,2026-05-25 23:30:00,2026-05-25 23:30:00,SELL,0.7173,0.71754,0.716987,0.716987,win,0.9293,0.375,9.0,31.3,0.71754,0.7173,1.1873
BTCUSD,30,1.3043478260869565,2026-05,2026-05-25,2026-05-25 23:30:00,2026-05-26 00:30:00,BUY,77258.96,76999.4,77597.516522,76999.4,loss,-1.0001,0.0001,1400.0,-259.56,77258.96,76999.4,1.8714
US30,30,1.3043478260869565,2026-05,2026-05-25,2026-05-25 23:30:00,2026-05-26 00:00:00,BUY,51006.5,50963.1,51063.108696,50963.1,loss,-1.053,0.053,23.0,-43.4,51006.5,50963.1,0.8484
XAUUSD,30,1.3043478260869565,2026-05,2026-05-25,2026-05-25 23:30:00,2026-05-26 00:00:00,SELL,4567.299,4580.336,4550.294217,4550.294217,win,1.3041,0.0002,280.0,1700.48,4580.336,4567.299,3.1941
AUDUSD,30,1.3043478260869565,2026-05,2026-05-26,2026-05-26 23:30:00,2026-05-26 23:45:00,BUY,0.71699,0.71671,0.717355,0.717355,win,0.9829,0.3214,9.0,36.52,0.71699,0.71671,1.9029
BTCUSD,30,1.3043478260869565,2026-05,2026-05-26,2026-05-26 23:30:00,2026-05-27 02:15:00,BUY,75840.88,75633.54,76111.323478,75633.54,loss,-1.0001,0.0001,1400.0,-207.34,75840.88,75633.54,1.2969
US30,30,1.3043478260869565,2026-05,2026-05-26,2026-05-26 23:30:00,2026-05-27 00:00:00,BUY,50542.3,50513.1,50580.386957,50580.386957,win,1.2256,0.0788,23.0,38.09,50542.3,50513.1,0.8089
XAUUSD,30,1.3043478260869565,2026-05,2026-05-26,2026-05-26 23:30:00,2026-05-26 23:30:00,BUY,4513.612,4504.34,4525.705913,4525.705913,win,1.304,0.0003,280.0,1209.39,4513.612,4504.34,1.5069
AUDUSD,30,1.3043478260869565,2026-05,2026-05-27,2026-05-27 23:30:00,2026-05-28 00:00:00,SELL,0.71378,0.7144,0.712971,0.712971,win,1.1592,0.1452,9.0,80.87,0.7144,0.71378,3.0456
US30,30,1.3043478260869565,2026-05,2026-05-27,2026-05-27 23:30:00,2026-05-28 02:30:00,SELL,50736.1,50780.7,50677.926087,50677.926087,win,1.2528,0.0516,23.0,58.17,50780.7,50736.1,1.0256
XAUUSD,30,1.3043478260869565,2026-05,2026-05-27,2026-05-27 23:45:00,2026-05-28 00:45:00,SELL,4449.074,4457.516,4438.062696,4457.516,loss,-1.0003,0.0003,280.0,-844.2,4457.516,4449.074,1.6796
BTCUSD,30,1.3043478260869565,2026-05,2026-05-27,2026-05-28 00:00:00,2026-05-28 01:15:00,BUY,74451.84,74113.98,74892.526957,74113.98,loss,-1.0,0.0,1400.0,-337.86,74451.84,74113.98,1.4124
AUDUSD,30,1.3043478260869565,2026-05,2026-05-28,2026-05-28 23:30:00,2026-05-29 00:00:00,SELL,0.71622,0.71646,0.715907,0.71646,loss,-1.375,0.375,9.0,-24.0,0.71646,0.71622,1.2399
BTCUSD,30,1.3043478260869565,2026-05,2026-05-28,2026-05-28 23:30:00,2026-05-29 01:30:00,BUY,73597.48,73375.91,73886.484348,73375.91,loss,-1.0001,0.0001,1400.0,-221.57,73597.48,73375.91,1.2625
XAUUSD,30,1.3043478260869565,2026-05,2026-05-28,2026-05-28 23:30:00,2026-05-29 00:00:00,SELL,4491.018,4496.93,4483.306696,4496.93,loss,-1.0005,0.0005,280.0,-591.2,4496.93,4491.018,1.3568
US30,30,1.3043478260869565,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 01:15:00,SELL,50736.2,50758.4,50707.243478,50707.243478,win,1.2098,0.0946,21.0,28.96,50758.4,50736.2,0.6418
BTCUSD,30,1.3043478260869565,2026-05,2026-05-29,2026-05-30 00:00:00,2026-05-30 03:00:00,BUY,73417.77,73210.08,73688.67,73688.67,win,1.3043,0.0001,1400.0,270.9,73417.77,73210.08,1.0871
BTCUSD,30,1.3043478260869565,2026-05,2026-05-30,2026-05-30 23:30:00,2026-05-31 00:15:00,SELL,73706.24,73895.1,73459.90087,73895.1,loss,-1.0001,0.0001,1400.0,-188.86,73895.1,73706.24,2.3205
AUDUSD,30,1.3043478260869565,2026-05,2026-05-31,2026-05-31 23:30:00,2026-06-01 00:00:00,BUY,0.71822,0.71778,0.718794,0.71778,loss,-1.2045,0.2045,9.0,-44.0,0.71822,0.71778,1.1536
BTCUSD,30,1.3043478260869565,2026-05,2026-05-31,2026-05-31 23:30:00,2026-06-01 02:00:00,SELL,73680.32,74107.22,73123.493913,73123.493913,win,1.3043,0.0,1400.0,556.83,74107.22,73680.32,3.2309
US30,30,1.3043478260869565,2026-05,2026-05-31,2026-05-31 23:30:00,2026-06-01 00:00:00,BUY,51104.3,51072.9,51145.256522,51145.256522,win,1.2311,0.0732,23.0,40.96,51104.3,51072.9,0.67
XAUUSD,30,1.3043478260869565,2026-05,2026-05-31,2026-05-31 23:30:00,2026-06-01 01:00:00,BUY,4545.002,4534.929,4558.140696,4534.929,loss,-1.0003,0.0003,280.0,-1007.3,4545.002,4534.929,1.4533
US30,30,1.3043478260869565,2026-06,2026-06-01,2026-06-01 23:30:00,2026-06-01 23:45:00,SELL,50990.1,51010.4,50963.621739,50963.621739,win,1.191,0.1133,23.0,26.48,51010.4,50990.1,0.5066
XAUUSD,30,1.3043478260869565,2026-06,2026-06-01,2026-06-01 23:30:00,2026-06-02 00:15:00,SELL,4481.712,4488.295,4473.125478,4488.295,loss,-1.0004,0.0004,280.0,-658.3,4488.295,4481.712,1.7869
AUDUSD,30,1.3043478260869565,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 00:15:00,SELL,0.71718,0.7178,0.716371,0.7178,loss,-1.1452,0.1452,9.0,-62.0,0.7178,0.71718,3.4173
BTCUSD,30,1.3043478260869565,2026-06,2026-06-02,2026-06-02 23:45:00,2026-06-03 03:15:00,BUY,66681.45,66085.73,67458.476087,66085.73,loss,-1.0,0.0,1400.0,-595.72,66681.45,66085.73,1.297
US30,30,1.3043478260869565,2026-06,2026-06-02,2026-06-02 23:45:00,2026-06-03 06:00:00,BUY,51382.6,51267.3,51532.991304,51323.6,timeout,-0.5317,0.0199,23.0,-59.0,51382.6,51267.3,3.3728
XAUUSD,30,1.3043478260869565,2026-06,2026-06-02,2026-06-03 00:30:00,2026-06-03 05:30:00,BUY,4488.57,4462.055,4523.154783,4462.055,loss,-1.0001,0.0001,280.0,-2651.5,4488.57,4462.055,5.3403
AUDUSD,30,1.3043478260869565,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,SELL,0.71283,0.71368,0.711721,0.71307,timeout,-0.3882,0.1059,9.0,-24.0,0.71368,0.71283,3.6615
BTCUSD,30,1.3043478260869565,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 00:15:00,SELL,64256.94,64897.58,63421.322609,63421.322609,win,1.3043,0.0,1400.0,835.62,64897.58,64256.94,1.59
US30,30,1.3043478260869565,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 00:30:00,SELL,50774.2,50833.6,50696.721739,50833.6,loss,-1.0354,0.0354,21.0,-59.4,50833.6,50774.2,1.1259
XAUUSD,30,1.3043478260869565,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-03 23:45:00,BUY,4451.436,4445.389,4459.323391,4459.323391,win,1.3039,0.0005,280.0,788.74,4451.436,4445.389,0.8548
AUDUSD,30,1.3043478260869565,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-04 23:45:00,SELL,0.7133,0.71358,0.712935,0.712935,win,0.9829,0.3214,9.0,36.52,0.71358,0.7133,1.6824
US30,30,1.3043478260869565,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 00:00:00,SELL,51659.1,51684.7,51625.708696,51625.708696,win,1.2145,0.0898,23.0,33.39,51684.7,51659.1,0.7678
XAUUSD,30,1.3043478260869565,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 00:15:00,SELL,4464.23,4473.877,4451.646957,4451.646957,win,1.3041,0.0003,280.0,1258.3,4473.877,4464.23,2.0873
BTCUSD,30,1.3043478260869565,2026-06,2026-06-04,2026-06-04 23:45:00,2026-06-05 01:00:00,BUY,63781.17,63297.06,64412.617826,63297.06,loss,-1.0,0.0,1008.0,-484.11,63781.17,63297.06,1.4913
BTCUSD,30,1.3043478260869565,2026-06,2026-06-05,2026-06-05 23:30:00,2026-06-06 04:30:00,SELL,60803.5,61759.79,59556.165217,59556.165217,win,1.3043,0.0,1008.0,1247.33,61759.79,60803.5,1.8882
BTCUSD,30,1.3043478260869565,2026-06,2026-06-06,2026-06-06 23:30:00,2026-06-07 01:00:00,BUY,60732.77,60511.48,61021.40913,61021.40913,win,1.3043,0.0,1008.0,288.64,60732.77,60511.48,1.2993
AUDUSD,30,1.3043478260869565,2026-06,2026-06-07,2026-06-07 23:30:00,2026-06-08 00:15:00,BUY,0.70388,0.70313,0.704858,0.704858,win,1.1843,0.12,9.0,97.83,0.70388,0.70313,1.2515
BTCUSD,30,1.3043478260869565,2026-06,2026-06-07,2026-06-07 23:30:00,2026-06-08 01:15:00,BUY,63250.39,62762.28,63887.055217,62762.28,loss,-1.0,0.0,1008.0,-488.11,63250.39,62762.28,0.9185
