kind,server_epoch,ny_day,side,high,low,poc,vah,val,requested_entry,stop,target,lots,planned_cash_risk,cutoff_epoch
profile,1758288600,20250919,0,3661.374,3632.283,3647.056,3657.283,3644.556,0.0,0.0,0.0,0.0,0.0,1758312000
entry,1758288900,20250919,1,3661.374,3632.283,3647.056,3657.283,3644.556,3656.949,3644.555,3661.374,0.09,111.546,1758312000
profile,1758547800,20250922,0,3728.393,3683.856,3723.174,3728.393,3691.511,0.0,0.0,0.0,0.0,0.0,1758571200
entry,1758548100,20250922,-1,3728.393,3683.856,3723.174,3728.393,3691.511,3717.477,3728.394,3683.856,0.1,109.17000000000002,1758571200
profile,1758634200,20250923,0,3791.177,3736.802,3784.805,3791.177,3748.697,0.0,0.0,0.0,0.0,0.0,1758657600
entry,1758634500,20250923,1,3791.177,3736.802,3784.805,3791.177,3748.697,3785.782,3748.696,3791.177,0.03,111.258,1758657600
timed_exit,1758657600,20250923,0,3791.177,3736.802,3784.805,3791.177,3748.697,0.0,0.0,0.0,0.0,0.0,1758657600
profile,1758720600,20250924,0,3779.307,3750.677,3768.347,3771.255,3757.835,0.0,0.0,0.0,0.0,0.0,1758744000
entry,1758720900,20250924,-1,3779.307,3750.677,3768.347,3771.255,3757.835,3763.372,3771.256,3750.677,0.13,102.492,1758744000
profile,1758807000,20250925,0,3761.681,3729.502,3737.798,3751.625,3734.53,0.0,0.0,0.0,0.0,0.0,1758830400
entry,1758807300,20250925,-1,3761.681,3729.502,3737.798,3751.625,3734.53,3736.364,3751.626,3729.502,0.07,106.83400000000002,1758830400
profile,1758893400,20250926,0,3766.441,3734.544,3751.738,3753.483,3742.02,0.0,0.0,0.0,0.0,0.0,1758916800
entry,1758893700,20250926,1,3766.441,3734.544,3751.738,3753.483,3742.02,3757.187,3742.019,3766.441,0.07,106.176,1758916800
profile,1759152600,20250929,0,3831.443,3763.402,3816.027,3831.443,3792.107,0.0,0.0,0.0,0.0,0.0,1759176000
entry,1759152900,20250929,1,3831.443,3763.402,3816.027,3831.443,3792.107,3824.247,3792.106,3831.443,0.04,128.564,1759176000
profile,1759239000,20250930,0,3871.778,3793.161,3814.658,3848.439,3796.846,0.0,0.0,0.0,0.0,0.0,1759262400
entry,1759239300,20250930,1,3871.778,3793.161,3814.658,3848.439,3796.846,3817.701,3796.845,3871.778,0.05,104.28,1759262400
timed_exit,1759262400,20250930,0,3871.778,3793.161,3814.658,3848.439,3796.846,0.0,0.0,0.0,0.0,0.0,1759262400
profile,1759325400,20251001,0,3895.456,3853.424,3860.32,3881.008,3854.738,0.0,0.0,0.0,0.0,0.0,1759348800
