rr,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,pnl,r_multiple,setup_score,entry_model,bot,managed_r_multiple,range_minutes,date,range_high,range_low,range_atr,logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,sl,tp1,tp2,final_tp,target_multiple,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk,balance_before,balance_after
6.0,GBPJPY,M15,2026-05,2026-05-19 00:45:00,2026-05-19 12:15:00,SELL,213.375,213.48219,212.73186,213.48219,loss,-10719.0,-1.0,94.0,Entry Model 1 - Double Wick Confirmation,LTA,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-19 23:15:00,2026-05-19 23:45:00,BUY,0.71082,0.7107,0.71154,0.7107,loss,-12.0,-1.0,,,ORB,-1.0,15.0,2026-05-19,0.71082,0.7107,0.5714,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-20 23:15:00,2026-05-20 23:45:00,SELL,0.71501,0.71521,0.71381,0.71521,loss,-20.0,-1.0,,,ORB,-1.0,15.0,2026-05-20,0.71521,0.71501,0.7609,,,,,,,,,,,,,,,,,,,,,,,,
6.0,USDCAD,M30,2026-05,2026-05-21 23:00:00,2026-05-22 10:30:00,BUY,1.3776,1.37725,1.3797,1.3797,win,210.0,6.0,91.0,Entry Model 1 - Double Wick Confirmation,LTA,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-21 23:15:00,2026-05-22 00:45:00,SELL,0.715,0.71516,0.71404,0.71404,win,96.0,6.0,,,ORB,0.5,15.0,2026-05-21,0.71516,0.715,0.5283,,,,,,,,,,,,,,,,,,,,,,,,
,BTCUSD,,,2026-05-22T12:00:00Z,,,77347.59,,,74240.18,win,20.72,2.0,,,Sniper,2.0,,,,,,BTCUSD,BTCUSDm,SELL,1779451200.0,1779451200.0,1779522600.0,78383.39,76311.79,75275.98,74240.18,3.0,1035.8,28.57,57.14,MILD BEAR,690.54,14.0,2026-05-22T12:00:00Z,2026-05-23T07:50:00Z,0.01,15.0,10.36,300.0,320.72
3.0,NZDUSD,,2026-05,2026-05-24 23:15:00,2026-05-25 01:15:00,SELL,0.58768,0.58795,0.58687,0.58795,loss,-27.0,-1.0,,,ORB,1.0,15.0,2026-05-24,0.58795,0.58768,0.7515,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-25 23:15:00,2026-05-26 05:00:00,SELL,0.71732,0.71754,0.716,0.716,win,132.0,6.0,,,ORB,1.5,15.0,2026-05-25,0.71754,0.71732,1.0883,,,,,,,,,,,,,,,,,,,,,,,,
,BTCUSD,,,2026-05-26T20:00:00Z,,,75921.84,,,72200.87,win,24.81,2.0,,,Sniper,2.0,,,,,,BTCUSD,BTCUSDm,SELL,1779825600.0,1779825600.0,1780314900.0,77162.16,74681.52,73441.19,72200.87,3.0,1240.32,14.29,71.43,STRONG BEAR,826.88,14.0,2026-05-26T20:00:00Z,2026-06-01T11:55:00Z,0.01,16.04,12.4,320.72,345.52
6.0,AUDUSD,,2026-05,2026-05-26 23:15:00,2026-05-27 00:30:00,BUY,0.71683,0.71671,0.71755,0.71755,win,72.0,6.0,,,ORB,3.5,15.0,2026-05-26,0.71683,0.71671,0.8155,,,,,,,,,,,,,,,,,,,,,,,,
