starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,timeouts,win_rate,net_r,max_drawdown_pct,month,bot
300.0,274.24,-25.76,-8.59,15,8,7,0,53.33,-1.5,21.04,2026-01,LTA
300.0,390.58,90.58,30.19,27,14,13,0,51.85,6.5,30.69,2026-01,ORB
300.0,720.2,420.2,140.07,35,26,9,2,74.29,18.75,14.26,2026-02,LTA
300.0,941.47,641.47,213.82,59,36,23,0,61.02,26.0,26.63,2026-02,ORB
300.0,413.2,113.2,37.73,35,20,15,1,57.14,7.5,18.55,2026-03,LTA
300.0,310.02,10.02,3.34,69,31,38,0,44.93,3.5,43.44,2026-03,ORB
300.0,654.99,354.99,118.33,39,25,14,2,64.1,17.3,16.51,2026-04,LTA
300.0,600.46,300.46,100.15,64,36,28,0,56.25,16.5,27.83,2026-04,ORB
300.0,312.9,12.9,4.3,5,3,2,0,60.0,1.0,7.49,2026-04,Sniper
300.0,407.27,107.27,35.76,35,22,13,0,62.86,7.0,18.75,2026-05,LTA
300.0,2354.79,2054.79,684.93,60,46,14,0,76.67,44.0,18.55,2026-05,ORB
300.0,420.47,120.47,40.16,6,6,0,0,100.0,7.0,0.0,2026-05,Sniper
300.0,369.02,69.02,23.01,31,16,15,0,51.61,5.5,27.39,2026-06,LTA
300.0,541.29,241.29,80.43,40,23,17,0,57.5,13.5,32.0,2026-06,ORB
300.0,299.25,-0.75,-0.25,2,1,1,0,50.0,0.0,5.0,2026-06,Sniper
