ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,max_drawdown_pct,cap_per_bot_day,skipped_daily_cap,skipped_symbol_overlap,skipped_orb_symbol_day
8726.0,8426.0,2808.67,218,134,84,61.47,76.41,33.79,1,525,0,0
81861.22,81561.22,27187.07,387,231,156,59.69,128.16,45.66,2,347,9,0
576983.34,576683.34,192227.78,522,313,209,59.96,172.55,46.9,3,191,29,1
3790866.19,3790566.19,1263522.06,627,376,251,59.97,215.05,51.0,4,75,38,3
18461504.31,18461204.31,6153734.77,699,425,274,60.8,249.55,55.78,5,1,38,5
18461504.31,18461204.31,6153734.77,699,425,274,60.8,249.55,55.78,6,0,39,5
18461504.31,18461204.31,6153734.77,699,425,274,60.8,249.55,55.78,7,0,39,5
18461504.31,18461204.31,6153734.77,699,425,274,60.8,249.55,55.78,8,0,39,5
18461504.31,18461204.31,6153734.77,699,425,274,60.8,249.55,55.78,9,0,39,5
18461504.31,18461204.31,6153734.77,699,425,274,60.8,249.55,55.78,10,0,39,5
18461504.31,18461204.31,6153734.77,699,425,274,60.8,249.55,55.78,unlimited,0,39,5
