policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,730,35,294,395,6,4.79,207.96,0.285,1.71,5.42
dynamic_balanced,730,59,297,367,7,8.08,188.88,0.259,1.64,4.15
dynamic_capped,730,60,298,370,2,8.22,184.65,0.253,1.62,4.15
dynamic_conservative,730,147,298,280,5,20.14,176.12,0.241,1.59,2.76
dynamic_score,730,47,297,379,7,6.44,197.88,0.271,1.67,5.04
fixed_current,730,83,295,345,7,11.37,239.12,0.328,1.81,4.77
