bot,symbol,date,reason
ORB,AUDUSD,2026-02-12,ambiguous_breakout
ORB,AUDUSD,2026-02-23,ambiguous_breakout
ORB,AUDUSD,2026-03-15,ambiguous_breakout
ORB,AUDUSD,2026-04-01,ambiguous_breakout
ORB,AUDUSD,2026-04-06,ambiguous_breakout
ORB,AUDUSD,2026-04-26,ambiguous_breakout
ORB,AUDUSD,2026-05-11,ambiguous_breakout
ORB,AUDUSD,2026-05-27,ambiguous_breakout
ORB,AUDUSD,2026-06-01,ambiguous_breakout
ORB,AUDUSD,2026-06-10,ambiguous_breakout
ORB,NZDUSD,2026-01-19,ambiguous_breakout
ORB,NZDUSD,2026-01-26,ambiguous_breakout
ORB,NZDUSD,2026-02-05,ambiguous_breakout
ORB,NZDUSD,2026-02-25,ambiguous_breakout
ORB,NZDUSD,2026-02-26,ambiguous_breakout
ORB,NZDUSD,2026-04-30,ambiguous_breakout
ORB,NZDUSD,2026-05-18,ambiguous_breakout
ORB,NZDUSD,2026-05-27,ambiguous_breakout
ORB,USDCAD,2026-02-03,ambiguous_breakout
ORB,USDCAD,2026-02-17,ambiguous_breakout
ORB,USDCAD,2026-02-18,ambiguous_breakout
ORB,USDCAD,2026-02-23,ambiguous_breakout
ORB,USDCAD,2026-03-15,ambiguous_breakout
ORB,USDCAD,2026-03-19,ambiguous_breakout
ORB,USDCAD,2026-03-25,ambiguous_breakout
ORB,USDCAD,2026-04-26,ambiguous_breakout
ORB,USDCAD,2026-04-28,ambiguous_breakout
ORB,USDCAD,2026-05-03,ambiguous_breakout
ORB,USDCAD,2026-05-17,ambiguous_breakout
ORB,USDCAD,2026-05-18,ambiguous_breakout
ORB,USDCAD,2026-05-25,ambiguous_breakout
ORB,USDCAD,2026-05-27,ambiguous_breakout
ORB,USDCAD,2026-06-02,ambiguous_breakout
ORB,USDCAD,2026-06-10,ambiguous_breakout
ORB,USDCAD,2026-06-16,ambiguous_breakout
ORB,GBPUSD,2026-02-18,ambiguous_breakout
ORB,GBPUSD,2026-02-23,ambiguous_breakout
ORB,GBPUSD,2026-03-26,ambiguous_breakout
ORB,GBPUSD,2026-04-19,ambiguous_breakout
ORB,GBPUSD,2026-04-22,ambiguous_breakout
ORB,GBPUSD,2026-04-26,ambiguous_breakout
ORB,GBPUSD,2026-04-27,ambiguous_breakout
ORB,GBPUSD,2026-05-17,ambiguous_breakout
ORB,GBPUSD,2026-05-18,ambiguous_breakout
ORB,GBPUSD,2026-05-27,ambiguous_breakout
ORB,GBPUSD,2026-06-01,ambiguous_breakout
ORB,GBPUSD,2026-06-10,ambiguous_breakout
ORB,USDCHF,2026-02-22,ambiguous_breakout
ORB,USDCHF,2026-02-25,ambiguous_breakout
ORB,USDCHF,2026-04-26,ambiguous_breakout
ORB,USDCHF,2026-05-18,ambiguous_breakout
ORB,USDCHF,2026-05-25,ambiguous_breakout
ORB,USDCHF,2026-05-27,ambiguous_breakout
ORB,USDCHF,2026-06-10,ambiguous_breakout
