starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,timeouts,win_rate,net_r,max_drawdown_pct,bot,symbol
300.0,2935.05,2635.05,878.35,83,52,31,0,62.65,51.0,17.18,ORB,AUDUSD
300.0,1165.44,865.44,288.48,84,51,33,0,60.71,30.5,22.82,ORB,GBPUSD
300.0,838.69,538.69,179.56,67,43,24,1,64.18,23.0,18.91,LTA,USDCAD
300.0,704.44,404.44,134.81,55,36,19,2,65.45,18.83,18.7,LTA,AUDUSD
300.0,629.29,329.29,109.76,78,44,34,0,56.41,17.5,39.49,ORB,NZDUSD
300.0,503.62,203.62,67.87,68,38,30,2,55.88,12.72,38.33,LTA,GBPJPY
300.0,437.46,137.46,45.82,13,10,3,0,76.92,8.0,7.49,Sniper,BTCUSD
300.0,402.11,102.11,34.04,41,22,19,0,53.66,7.5,30.3,ORB,USDCAD
300.0,336.01,36.01,12.0,33,17,16,0,51.52,3.5,39.19,ORB,USDCHF
