policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,239,7,97,129,6,2.93,53.46,0.224,1.55,5.44
dynamic_aggressive,ORB,491,28,197,266,0,5.7,154.5,0.315,1.78,5.41
dynamic_balanced,LTA,239,15,97,121,6,6.28,54.96,0.23,1.57,4.24
dynamic_balanced,ORB,491,44,200,246,1,8.96,133.92,0.273,1.67,4.1
dynamic_capped,LTA,239,15,99,123,2,6.28,50.15,0.21,1.51,4.24
dynamic_capped,ORB,491,45,199,247,0,9.16,134.5,0.274,1.68,4.1
dynamic_conservative,LTA,239,44,99,91,5,18.41,54.62,0.229,1.55,2.93
dynamic_conservative,ORB,491,103,199,189,0,20.98,121.5,0.247,1.61,2.67
dynamic_score,LTA,239,25,97,111,6,10.46,55.96,0.234,1.58,4.12
dynamic_score,ORB,491,22,200,268,1,4.48,141.92,0.289,1.71,5.48
fixed_current,LTA,239,5,98,129,7,2.09,53.62,0.224,1.55,6.0
fixed_current,ORB,491,78,197,216,0,15.89,185.5,0.378,1.94,4.17
