ending_balance,return_pct,trades,wins,losses,win_rate,net_r,max_drawdown_pct,profit_dd_ratio,cap_per_bot_day,AUTO_MAX_CONSECUTIVE_LOSSES,skipped_daily_cap,skipped_symbol_overlap,skipped_orb_symbol_day,skipped_lta_loss_streak
576983.34,192227.78,522,313,209,59.96,172.55,46.9,4098.71,3,0,191,29,1,0
308352.79,102684.26,496,296,200,59.68,158.72,44.0,2333.84,3,1,184,21,1,41
623723.63,207807.88,519,312,207,60.12,174.05,44.1,4711.68,3,2,189,29,1,5
576983.34,192227.78,522,313,209,59.96,172.55,46.9,4098.71,3,3,191,29,1,0
576983.34,192227.78,522,313,209,59.96,172.55,46.9,4098.71,3,4,191,29,1,0
576983.34,192227.78,522,313,209,59.96,172.55,46.9,4098.71,3,5,191,29,1,0
18461504.31,6153734.77,699,425,274,60.8,249.55,55.78,110323.62,5,0,1,38,5,0
9021286.75,3006995.58,664,402,262,60.54,233.72,53.36,56350.23,5,1,0,27,5,47
20068571.95,6689423.98,692,422,270,60.98,251.05,53.45,125149.37,5,2,1,38,5,7
18461504.31,6153734.77,699,425,274,60.8,249.55,55.78,110323.62,5,3,1,38,5,0
18461504.31,6153734.77,699,425,274,60.8,249.55,55.78,110323.62,5,4,1,38,5,0
18461504.31,6153734.77,699,425,274,60.8,249.55,55.78,110323.62,5,5,1,38,5,0
