strategy,case,symbol,period,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph
Asia Second Hour Sweep,s3-xauusd-h2-drive15-eff065,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,10097.34,97.34,0.9733999999999999,1963.34,-1866.0,1.05,525.79,5.21,445.89,4.42,28,11,17,39.29,12,33.33,16,43.75,497.96,-102.2,178.49,-99.7,3.48,0.19,2.09,-171.11,0.0,-6.3416,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h2-drive15-eff065.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h2-drive15-eff065.png
Asia Second Hour Sweep,s3-xauusd-h1-drive20-eff065,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,10125.07,125.07,1.2507,1337.54,-1212.47,1.1,627.12,6.09,381.33,3.78,20,9,11,45.0,5,0.0,15,60.0,413.2,-100.65,148.62,-98.67,6.25,0.2,2.56,-127.14999999999999,0.0,-6.884299999999999,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h1-drive20-eff065.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h1-drive20-eff065.png
Asia Second Hour Sweep,s3-xauusd-h1-drive15-eff05,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,10934.52,934.52,9.3452,8073.57,-7139.05,1.13,1984.5,17.24,1641.87,14.6,115,52,63,45.22,46,45.65,69,44.93,450.38,-112.12,155.26,-103.17,8.13,0.47,4.24,-639.2200000000001,0.0,-15.214800000000002,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h1-drive15-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h1-drive15-eff05.png
Asia Second Hour Sweep,s3-xauusd-h2-drive15-eff05,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,9909.68,-90.32,-0.9032,4423.53,-4513.85,0.98,1103.9,10.35,1018.43,9.58,66,26,40,39.39,28,32.14,38,44.74,518.3,-105.09,170.14,-100.93,-1.37,-0.08,-0.83,-476.75000000000006,0.0,-16.628199999999996,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h2-drive15-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h2-drive15-eff05.png
Asia Second Hour Sweep,s3-gbpjpy-h0-drive15-eff065,GBPJPY,M1 (2020.01.01 - 2024.12.31),100.0,1855119,7344623,10000.0,10194.14,194.14,1.9413999999999998,3984.33,-3790.19,1.05,1405.45,13.15,1233.2,11.63,57,25,32,43.86,33,39.39,24,50.0,569.81,-105.56,159.37,-101.23,3.41,0.14,2.65,-550.7700000000002,0.0,-17.2836,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h0-drive15-eff065.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h0-drive15-eff065.png
Asia Second Hour Sweep,s3-xauusd-h1-drive20-eff05,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,10291.99,291.99,2.9198999999999997,4412.2,-4120.21,1.07,1564.72,14.3,1433.15,13.16,65,28,37,43.08,22,36.36,43,46.51,425.6,-108.38,157.58,-101.2,4.49,0.19,2.53,-375.99000000000007,0.0,-17.830100000000005,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h1-drive20-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h1-drive20-eff05.png
Asia Second Hour Sweep,s3-gbpjpy-h1-drive15-eff05,GBPJPY,M1 (2020.01.01 - 2024.12.31),100.0,1855119,7344623,10000.0,10380.79,380.79,3.8079,6066.39,-5685.6,1.07,1966.97,15.93,1941.87,15.76,70,26,44,37.14,39,46.15,31,25.81,660.17,-122.43,233.32,-111.3,5.44,0.19,3.3,-788.2699999999998,0.0,-19.3871,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h1-drive15-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h1-drive15-eff05.png
Asia Second Hour Sweep,s3-xauusd-h0-drive15-eff065,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,9661.95,-338.05,-3.3805,2635.15,-2973.2,0.89,1044.96,10.44,978.82,9.79,45,17,28,37.78,21,38.1,24,37.5,445.27,-99.72,155.01,-95.81,-7.51,-0.32,-5.0,-290.52,0.0,-20.140500000000003,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h0-drive15-eff065.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h0-drive15-eff065.png
Asia Second Hour Sweep,s3-xauusd-h2-drive20-eff05,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,9503.37,-496.63,-4.9662999999999995,2268.09,-2764.72,0.82,951.65,9.1,951.65,9.1,40,15,25,37.5,14,28.57,26,42.31,253.99,-104.41,151.21,-99.55,-12.42,-0.52,-5.0,-275.9899999999999,0.0,-20.4163,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h2-drive20-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h2-drive20-eff05.png
Asia Second Hour Sweep,s3-gbpjpy-h0-drive20-eff05,GBPJPY,M1 (2020.01.01 - 2024.12.31),100.0,1855119,7344623,10000.0,9995.72,-4.28,-0.042800000000000005,5473.29,-5477.57,1.0,1744.07,15.72,1640.76,14.81,80,35,45,43.75,44,43.18,36,44.44,569.81,-110.59,156.38,-101.99,-0.05,0.0,-0.05,-887.8700000000002,0.0,-23.6228,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h0-drive20-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h0-drive20-eff05.png
Asia Second Hour Sweep,s3-xauusd-h0-drive20-eff05,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,9439.75,-560.25,-5.6025,3339.43,-3899.68,0.86,1282.02,12.46,1234.03,12.03,57,21,36,36.84,29,37.93,28,35.71,457.38,-101.24,159.02,-96.95,-9.83,-0.44,-5.0,-409.6300000000001,0.0,-25.6925,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h0-drive20-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h0-drive20-eff05.png
Asia Second Hour Sweep,s3-gbpjpy-h2-drive15-eff065,GBPJPY,M1 (2020.01.01 - 2024.12.31),100.0,1855119,7344623,10000.0,9388.95,-611.05,-6.110499999999999,2545.97,-3157.02,0.81,1476.72,13.89,1274.77,12.15,39,11,28,28.21,21,28.57,18,27.78,493.09,-104.8,231.45,-97.92,-15.67,-0.41,-5.0,-415.15999999999997,0.0,-28.845499999999998,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h2-drive15-eff065.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h2-drive15-eff065.png
Asia Second Hour Sweep,s3-xauusd-h1-drive15-eff065,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,9734.11,-265.89,-2.6588999999999996,3218.52,-3484.41,0.92,1941.18,17.6,1663.86,15.42,53,21,32,39.62,18,27.78,35,45.71,396.68,-106.73,153.26,-99.72,-5.02,-0.14,-2.37,-293.46,0.0,-29.858900000000002,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h1-drive15-eff065.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h1-drive15-eff065.png
Asia Second Hour Sweep,s3-gbpjpy-h0-drive15-eff05,GBPJPY,M1 (2020.01.01 - 2024.12.31),100.0,1855119,7344623,10000.0,9765.31,-234.69,-2.3469,9620.84,-9855.53,0.98,2454.89,20.29,2345.49,19.52,135,57,78,42.22,71,42.25,64,42.19,986.32,-120.14,168.79,-106.78,-1.74,-0.1,-1.62,-1526.7600000000007,0.0,-32.9819,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h0-drive15-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h0-drive15-eff05.png
Asia Second Hour Sweep,s3-gbpjpy-h2-drive20-eff065,GBPJPY,M1 (2020.01.01 - 2024.12.31),100.0,1855119,7344623,10000.0,9138.05,-861.95,-8.6195,946.54,-1808.49,0.52,1390.69,13.21,1258.4,12.1,19,3,16,15.79,10,20.0,9,11.11,412.59,-103.91,315.51,-98.0,-45.37,-0.62,-5.0,-240.54,0.0,-33.2345,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h2-drive20-eff065.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h2-drive20-eff065.png
Asia Second Hour Sweep,s3-xauusd-h0-drive15-eff05,XAUUSD,M1 (2020.01.01 - 2024.12.31),98.0,1766120,7063637,10000.0,9080.82,-919.18,-9.1918,6276.48,-7195.66,0.87,1841.97,17.43,1777.12,16.87,110,43,67,39.09,65,41.54,45,35.56,460.41,-103.9,145.96,-96.01,-8.36,-0.5,-5.0,-763.1300000000002,0.0,-36.636799999999994,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h0-drive15-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-xauusd-h0-drive15-eff05.png
Asia Second Hour Sweep,s3-gbpjpy-h2-drive20-eff05,GBPJPY,M1 (2020.01.01 - 2024.12.31),100.0,1855119,7344623,10000.0,8480.89,-1519.11,-15.191099999999999,3735.28,-5254.39,0.71,2571.62,23.28,2303.31,21.36,60,15,45,25.0,33,24.24,27,25.93,782.43,-107.83,249.02,-95.67,-25.32,-0.59,-5.0,-949.2100000000003,0.0,-53.0111,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h2-drive20-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h2-drive20-eff05.png
Asia Second Hour Sweep,s3-gbpjpy-h2-drive15-eff05,GBPJPY,M1 (2020.01.01 - 2024.12.31),100.0,1855119,7344623,10000.0,8252.09,-1747.91,-17.4791,4644.9,-6392.81,0.73,2900.45,26.01,2633.99,24.2,79,23,56,29.11,45,28.89,34,29.41,789.06,-108.7,201.95,-93.36,-22.13,-0.6,-5.0,-1164.4999999999998,0.0,-59.194100000000006,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h2-drive15-eff05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Three Influencer Strategies Research 2026-08-20\Backtest Reports\Training\s3-gbpjpy-h2-drive15-eff05.png
