symbol,broker_symbol,candles,days,status
EURUSD,EURUSDm,12767,78,ok
GBPUSD,GBPUSDm,12766,78,ok
USDJPY,USDJPYm,12767,78,ok
USDCHF,USDCHFm,12766,78,ok
USDCAD,USDCADm,12767,78,ok
AUDUSD,AUDUSDm,12767,78,ok
NZDUSD,NZDUSDm,12767,78,ok
EURGBP,EURGBPm,12767,78,ok
EURJPY,EURJPYm,12767,78,ok
GBPJPY,GBPJPYm,12766,78,ok
