symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,max_trades_per_day,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,objective
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/1.5/2.0,LONDON,3,273,143,130,52.38,10000.0,17582.42,7582.42,75.82,45.88,1.12,0.087,63.24
USDSGD,USDSGD..,M5,EMA,3,2.0,1.0/2.0/3.0,ALL,1,259,136,122,52.51,10000.0,13358.35,3358.35,33.58,34.89,1.1,0.053,24.87
