starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,month,bot
300,284.57,-15.43,-5.14,1,0,1,0.0,-1.03,0.0284,5.14,2025-06,Trend
300,242.71,-57.29,-19.1,13,5,8,38.46,-3.93,0.0327,29.73,2025-07,Trend
300,198.78,-101.22,-33.74,15,4,11,26.67,-7.83,0.0217,37.95,2025-08,Trend
300,222.82,-77.18,-25.73,9,2,7,22.22,-5.73,0.0254,30.83,2025-09,Trend
300,211.88,-88.12,-29.37,11,3,8,27.27,-6.72,0.0203,31.03,2025-10,Trend
300,207.5,-92.5,-30.83,18,5,13,27.78,-6.79,0.0159,33.65,2025-11,Trend
300,191.99,-108.01,-36.0,10,1,9,10.0,-8.68,0.018,36.0,2025-12,Trend
300,185.03,-114.97,-38.32,20,5,15,25.0,-9.03,0.0263,42.08,2026-01,Trend
300,205.85,-94.15,-31.38,12,3,9,25.0,-7.25,0.0212,31.38,2026-02,Trend
300,228.86,-71.14,-23.71,10,3,7,30.0,-5.19,0.0192,23.71,2026-03,Trend
300,174.92,-125.08,-41.69,16,3,13,18.75,-10.33,0.0209,44.1,2026-04,Trend
300,331.55,31.55,10.52,7,4,3,57.14,2.29,0.0296,10.01,2026-05,Trend
300,314.91,14.91,4.97,10,5,5,50.0,1.34,0.0159,17.17,2026-06,Trend
