policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,55,2,36,17,0,3.64,-17.34,-0.315,0.53,5.53
dynamic_aggressive,ORB,85,4,36,45,0,4.71,6.56,0.077,1.18,5.41
dynamic_balanced,LTA,55,3,36,16,0,5.45,-17.84,-0.324,0.51,4.33
dynamic_balanced,ORB,86,6,38,42,0,6.98,2.47,0.029,1.06,4.08
dynamic_capped,LTA,54,4,33,17,0,7.41,-12.82,-0.237,0.62,4.31
dynamic_capped,ORB,85,6,33,46,0,7.06,12.12,0.143,1.36,4.09
dynamic_conservative,LTA,55,3,36,16,0,5.45,-19.82,-0.36,0.46,2.95
dynamic_conservative,ORB,85,16,31,38,0,18.82,18.22,0.214,1.58,2.65
dynamic_score,LTA,55,2,36,17,0,3.64,-19.34,-0.352,0.47,4.24
dynamic_score,ORB,86,1,38,47,0,1.16,1.47,0.017,1.04,5.43
fixed_current,LTA,54,1,36,17,0,1.85,-20.25,-0.375,0.45,6.0
fixed_current,ORB,80,0,32,48,0,0.0,12.73,0.159,1.39,6.0
