policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,140,6,72,62,0,4.29,-10.78,-0.077,0.85,5.46
dynamic_balanced,141,9,74,58,0,6.38,-15.38,-0.109,0.8,4.18
dynamic_capped,139,10,66,63,0,7.19,-0.7,-0.005,0.99,4.18
dynamic_conservative,140,19,67,54,0,13.57,-1.6,-0.011,0.98,2.76
dynamic_score,141,3,74,64,0,2.13,-17.88,-0.127,0.76,4.96
fixed_current,134,1,68,65,0,0.75,-7.52,-0.056,0.89,6.0
