slug,timeframe,lookback,fast,slow,rr,return_pct,profit_factor,win_rate,equity_dd_pct,trades,net_profit,commission,swap,score,report
fakeout-fixed,,,,,,6.4871,1.05,44.44,9.33,216,648.71,-318.34000000000003,-276.05,0.7300594855305467,Backtest Reports\Refinement\fakeout-fixed.htm
fakeout-trail15,,,,,,2.4402,1.02,52.31,11.28,216,244.02,-305.7800000000002,-248.48000000000005,0.22065638297872342,Backtest Reports\Refinement\fakeout-trail15.htm
fakeout-be1,,,,,,1.042,1.01,52.31,11.28,216,104.2,-302.49000000000035,-245.67000000000004,0.09329964539007093,Backtest Reports\Refinement\fakeout-be1.htm
breakoutplus-fixed,,,,,,1.1231,1.0,43.74,31.77,894,112.31,-900.2200000000028,-927.1099999999997,0.03535096002518099,Backtest Reports\Refinement\breakoutplus-fixed.htm
all-fixed,,,,,,-0.6676000000000001,1.0,43.47,35.42,1102,-66.76,-1152.3700000000033,-1161.0199999999986,-0.018848108413325806,Backtest Reports\Refinement\all-fixed.htm
breakout-fixed,,,,,,-12.1622,0.96,43.24,40.15,754,-1216.22,-605.2600000000015,-585.24,-0.29080229140722297,Backtest Reports\Refinement\breakout-fixed.htm
breakoutplus-be1,,,,,,-13.188600000000001,0.96,49.4,36.68,917,-1318.86,-873.5000000000026,-739.8699999999997,-0.3451760087241003,Backtest Reports\Refinement\breakoutplus-be1.htm
breakout-be1,,,,,,-15.479999999999999,0.94,48.75,41.91,757,-1548.0,-603.4700000000014,-484.5900000000002,-0.3472011453113815,Backtest Reports\Refinement\breakout-be1.htm
breakout-trail15,,,,,,-15.542,0.94,48.75,41.97,757,-1554.2,-603.0200000000013,-484.5900000000002,-0.3480934000476531,Backtest Reports\Refinement\breakout-trail15.htm
breakoutplus-trail15,,,,,,-13.426400000000003,0.96,49.4,36.95,917,-1342.64,-871.300000000003,-737.0599999999997,-0.3488320433017592,Backtest Reports\Refinement\breakoutplus-trail15.htm
all-trail15,,,,,,-16.2913,0.96,49.73,39.43,1124,-1629.13,-1088.8500000000006,-929.8999999999999,-0.39664336799391325,Backtest Reports\Refinement\all-trail15.htm
all-be1,,,,,,-17.2258,0.96,49.73,39.97,1124,-1722.58,-1080.4300000000019,-915.8699999999995,-0.4137294971228421,Backtest Reports\Refinement\all-be1.htm
