symbol,broker_symbol,candles,days,status
XAUUSD,XAUUSDm,2590,28,ok
XAGUSD,XAGUSDm,2590,28,ok
EURUSD,EURUSDm,2728,28,ok
BTCUSD,BTCUSDm,3688,32,ok
US30,US30m,2584,28,ok
