key,value
first_tick,2023.09.05 00:00:00
last_tick,2026.09.04 20:57:59
initial_balance,10000.00000000
final_balance,11317.69000000
native_net_profit,1317.69000000
native_trades,1095.00000000
native_equity_dd_pct,14.25297690
observed_equity_dd_pct,14.29898088
observed_equity_dd_cash,1721.43000000
minimum_equity,9939.25000000
max_concurrent_positions,3.00000000
max_gross_initial_stop_risk_pct,3.67765570
fills,1095.00000000
errors,12.00000000
occupied_signals,801.00000000
data_read_retries,0.00000000
