time,closed_bar,c1,c2,e20_1,e20_2,e50,e200,adx,plus,minus,e9_1,e9_2,e21_1,e21_2,rsi,prior20_high,prior20_low,tr,atr1,atr2,momentum,change,breakout
2023.09.05 00:00:00,2023.09.04 23:00:00,1937.696,1938.108,1940.2000211540835,1940.4636023281976,1940.7516382233775,1930.4247674950864,33.7345139205889,12.267490982267391,21.98201593571345,1938.926472066222,1939.2340900827776,1940.270334460546,1940.5277679066007,37.603865145747804,1946.27,1936.725,0.9230000000000018,1.6973571428571714,1.7570714285714417,0,0,0
2023.09.05 01:00:00,2023.09.05 00:00:00,1937.817,1937.696,1939.9730667584565,1940.2000211540835,1940.6365543714803,1930.4983220473741,35.29117978502982,10.631825517965073,28.319373160545453,1938.7045776529776,1938.926472066222,1940.0473040550419,1940.270334460546,38.242782667281745,1946.27,1936.725,0.9839999999999236,1.634357142857167,1.6973571428571714,0,0,0
2023.09.05 02:00:00,2023.09.05 01:00:00,1935.822,1937.817,1939.577727067175,1939.9730667584565,1940.4477483176968,1930.5512939673008,37.962725111454716,9.214248782236396,32.038443224447484,1938.128062122382,1938.7045776529776,1939.6631855045835,1940.0473040550419,32.35936919838905,1946.27,1936.725,3.8229999999998654,1.756214285714303,1.634357142857167,0,0,-1
2023.09.05 03:00:00,2023.09.05 02:00:00,1937.058,1935.822,1939.3377530607775,1939.577727067175,1940.3148170111203,1930.6160373109099,40.2780643943563,7.98568227793821,27.766650794521155,1937.9140496979057,1938.128062122382,1939.426350458712,1939.6631855045835,38.65605260584867,1946.27,1934.833,2.3040000000000873,1.794214285714314,1.756214285714303,0,0,0
2023.09.05 04:00:00,2023.09.05 03:00:00,1936.963,1937.058,1939.111586102608,1939.3377530607775,1940.1833732067626,1930.6791911685127,42.28469177287101,6.920924640879782,24.064430688585002,1937.7238397583246,1937.9140496979057,1939.20240950792,1939.426350458712,38.360470626281035,1946.27,1934.833,1.2899999999999636,1.644357142857158,1.794214285714314,0,0,0
2023.09.05 05:00:00,2023.09.05 04:00:00,1938.587,1936.963,1939.0616255214072,1939.111586102608,1940.1207703359091,1930.7578758335028,38.345903437333185,16.141039308238554,20.855839930107003,1937.8964718066597,1937.7238397583246,1939.1464631890183,1939.20240950792,45.96669427436833,1946.27,1934.833,2.005999999999858,1.6133571428571438,1.644357142857158,0,0,0
2023.09.05 06:00:00,2023.09.05 05:00:00,1937.062,1938.587,1938.871184995559,1939.0616255214072,1940.0008185580302,1930.8206034371497,35.562819487451875,13.988900733806748,19.912397977352875,1937.7295774453278,1937.8964718066597,1938.956966535471,1939.1464631890183,40.86692800980074,1946.27,1934.833,2.37299999999982,1.633214285714272,1.6133571428571438,0,0,0
2023.09.05 07:00:00,2023.09.05 06:00:00,1936.728,1937.062,1938.6670721388389,1938.871184995559,1939.872472732225,1930.8793835024517,35.713715056858845,12.123713969299182,26.178553331703135,1937.5292619562624,1937.7295774453278,1938.7543332140647,1938.956966535471,39.824798034407365,1946.27,1934.833,2.0670000000000073,1.6502857142857028,1.633214285714272,0,0,0
2023.09.05 08:00:00,2023.09.05 07:00:00,1935.578,1936.728,1938.3728747922828,1938.6670721388389,1939.7040620368437,1930.9261359054124,33.53566378005817,15.322302167155513,22.688079554142718,1937.1390095650102,1937.5292619562624,1938.4655756491497,1938.7543332140647,36.3844544342825,1945.233,1934.833,2.758000000000038,1.6832142857142751,1.6502857142857028,0,0,0
2023.09.05 09:00:00,2023.09.05 08:00:00,1933.425,1935.578,1937.9016486215892,1938.3728747922828,1939.4578243099086,1930.9510002247616,34.64970976125461,13.279328544868111,32.425572654940915,1936.3962076520081,1937.1390095650102,1938.007341499227,1938.4655756491497,30.98732114910257,1944.455,1934.833,3.433999999999969,1.784071428571404,1.6832142857142751,0,0,-1
2023.09.05 10:00:00,2023.09.05 09:00:00,1930.717,1933.425,1937.217396371914,1937.9016486215892,1939.1150468859905,1930.948671864316,36.88043447328567,11.508751405552363,35.83302462226735,1935.2603661216065,1936.3962076520081,1937.3445831811155,1938.007341499227,25.80285193553364,1944.199,1932.227,2.913000000000011,1.926142857142835,1.784071428571404,0,0,-1
2023.09.05 11:00:00,2023.09.05 10:00:00,1931.09,1930.717,1936.6338348126842,1937.217396371914,1938.8003391649713,1930.9500781144225,39.11000552308655,9.974251218145382,33.020265535796106,1934.4262928972853,1935.2603661216065,1936.775984710105,1937.3445831811155,27.599676307902158,1942.728,1930.538,2.1510000000000673,2.016357142857131,1.926142857142835,0,0,0
