key,value
first_tick,2019.01.02 00:00:00
last_tick,2026.09.04 20:57:59
initial_balance,10000.00000000
final_balance,8309.66000000
native_net_profit,-1690.34000000
native_trades,2789.00000000
native_equity_dd_pct,28.81952154
observed_equity_dd_pct,28.83105978
observed_equity_dd_cash,2973.50000000
minimum_equity,7340.03000000
max_concurrent_positions,3.00000000
max_gross_initial_stop_risk_pct,4.97788459
fills,2789.00000000
errors,20.00000000
occupied_signals,2089.00000000
data_read_retries,0.00000000
