symbol,decision,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality,mc_return_p5_pct,mc_dd_p95_pct
xauusd,WATCH / insufficient robustness,3.1185,1.37,28.95,2.9,38,4.68,1.05,99%,-2.5119800000000234,5.192698697011247
xagusd,REJECT,-0.923,0.9,44.83,7.0,29,-1.63,-0.13,99%,-9.026599999999908,10.610328574097776
btcusd,REJECT,-7.7336,0.72,44.83,9.92,58,-5.0,-0.77,100%,-17.138824999999944,18.506167059745493
us30,REJECT,-8.4815,0.75,50.68,12.41,73,-5.0,-0.67,100%,-20.01932999999999,21.7200255627366
ustec,REJECT,-4.491499999999999,0.9,41.25,10.97,80,-2.9,-0.4,100%,-18.102164999999996,21.30146457533028
gbpjpy,REJECT,-3.9382,0.86,37.78,11.23,45,-3.01,-0.34,100%,-15.844564999999953,18.03826500000001
