candidate,stage,score,mode,risk_pct,grid_levels,first_offset_atr,grid_step_atr,stop_extra_atr,target_atr,be_trigger_r,be_lock_r,trail_start_r,trail_distance_atr,pending_expiry_bars,max_hold_bars,cooldown_bars,session_start_utc,session_end_utc,adx_min,adx_max,range_adx_max,rsi_long_max,rsi_short_min,max_spread_price,max_daily_loss_pct,start,end,starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,profit_factor,max_drawdown_pct,realized_drawdown_pct,max_consecutive_losses,exposure_pct_max
11,train,-10000.0,trend,0.5,2,0.2,0.9,0.9,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9868.70599902737,-131.29400097262987,-1.3129400097262933,31,15,16,48.38709677419355,0.7864547592479247,2.2238620416895194,2.2205859755062822,5,0.4913140332138931
12,train,-10000.0,trend,0.5,2,0.2,0.9,0.9,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9913.036827536653,-86.96317246334729,-0.8696317246334684,31,16,15,51.61290322580645,0.8486357540603312,2.2108340286586667,2.2108340286586667,5,0.48915025943695856
13,train,-10000.0,trend,0.5,2,0.2,0.9,1.3,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9919.246485789956,-80.75351421004416,-0.8075351421004462,32,20,12,62.5,0.8258065956712995,2.3235377610034473,2.3235377610034473,5,0.500082347759704
14,train,-10000.0,trend,0.5,2,0.2,0.9,1.3,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9919.246485789956,-80.75351421004416,-0.8075351421004462,32,20,12,62.5,0.8258065956712995,2.3235377610034473,2.3235377610034473,5,0.500082347759704
15,train,-10000.0,trend,0.5,2,0.2,0.9,1.3,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9856.136063855667,-143.8639361443329,-1.438639361443328,30,15,15,50.0,0.728259060247414,2.3327802458201443,2.2903027099818876,5,0.4920217757437742
16,train,-10000.0,trend,0.5,2,0.2,0.9,1.3,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9856.136063855667,-143.8639361443329,-1.438639361443328,30,15,15,50.0,0.728259060247414,2.3327802458201443,2.2903027099818876,5,0.4920217757437742
17,train,-10000.0,trend,0.5,2,0.35,0.6,0.9,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9841.133762943038,-158.86623705696184,-1.5886623705696157,29,15,14,51.724137931034484,0.713157732845149,2.425653994445537,2.3940955497800105,5,0.5000962811825796
18,train,-10000.0,trend,0.5,2,0.35,0.6,0.9,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9808.628734479855,-191.37126552014524,-1.9137126552014494,29,15,14,51.724137931034484,0.6464805728346203,2.328660734709456,2.283195770789178,5,0.4796650067233973
19,train,-10000.0,trend,0.5,2,0.35,0.6,0.9,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9830.413476472622,-169.58652352737772,-1.6958652352737746,28,12,16,42.857142857142854,0.7364111573840173,2.7850489567548595,2.717724061603762,5,0.4992610655216208
20,train,-10000.0,trend,0.5,2,0.35,0.6,0.9,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9767.741498277239,-232.25850172276114,-2.3225850172276075,28,14,14,50.0,0.563448062293834,3.044997783610549,3.0135257594321523,5,0.47921208894581924
