case,group,stage,report,from,to,model,reward_risk,stop_buffer_atr,minimum_stop_atr,break_even_at_r,maximum_holding_bars,dynamic,dynamic_trigger,dynamic_lock,session,safe_filter,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-400,reward-risk,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\ThreeYear\eth-threeyear-rr-400.htm,2023.09.01,2026.09.01,0,4.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,12442.42,2442.42,24.42,1.73,38.64,6.38,44,6.84,2.88,100%,1.49,2.91
manage-native,management,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\ThreeYear\eth-threeyear-manage-native.htm,2023.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,11853.33,1853.33,18.53,1.61,40.91,6.68,44,6.72,2.5,100%,1.42,3.79
manage-current-dynamic5020,management,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\ThreeYear\eth-threeyear-manage-current-dynamic5020.htm,2023.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,11649.67,1649.67,16.5,1.61,48.89,6.68,45,7.44,2.21,100%,1.4,3.35
session-asia,session,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\ThreeYear\eth-threeyear-session-asia.htm,2023.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,1,false,1.00,10000.0,10520.69,520.69,5.21,1.65,46.15,5.32,13,2.46,0.95,100%,0.82,1.6
safe-on,safe-filter,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\ThreeYear\eth-threeyear-safe-on.htm,2023.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,true,1.00,10000.0,10708.54,708.54,7.09,1.44,51.72,6.41,29,5.33,0.97,100%,0.85,1.2
combo-rr4-dynamic5020,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\ThreeYear\eth-threeyear-combo-rr4-dynamic5020.htm,2023.09.01,2026.09.01,0,4.00,0.10,0.30,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,12176.77,2176.77,21.77,1.72,43.18,6.68,44,7.28,2.87,100%,1.48,4.17
combo-rr4-dynamic5020-safe,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\ThreeYear\eth-threeyear-combo-rr4-dynamic5020-safe.htm,2023.09.01,2026.09.01,0,4.00,0.10,0.30,0.00,96,true,0.50,0.20,0,true,1.00,10000.0,11436.59,1436.59,14.37,1.82,46.43,6.19,28,7.58,2.13,100%,1.28,2.28
