date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-04-20,2026-04-20 13:45:00,2026-04-20 14:00:00,EURUSD,BUY,loss,-1.0,20.0,15.4,1
2026-04-21,2026-04-21 13:45:00,2026-04-21 14:30:00,EURUSD,SELL,loss,-1.0,15.4,11.86,1
2026-04-22,2026-04-22 13:45:00,2026-04-22 14:30:00,EURUSD,BUY,loss,-1.0,11.86,9.13,1
2026-04-24,2026-04-24 13:45:00,2026-04-24 14:00:00,EURUSD,BUY,win,1.3043,9.13,11.87,1
2026-04-27,2026-04-27 13:45:00,2026-04-27 14:45:00,EURUSD,SELL,win,1.3043,11.87,15.43,1
2026-04-28,2026-04-28 14:00:00,2026-04-28 15:00:00,EURUSD,SELL,loss,-1.0,15.43,11.88,1
2026-04-29,2026-04-29 14:15:00,2026-04-29 17:00:00,EURUSD,BUY,loss,-1.0,11.88,9.15,1
2026-04-30,2026-04-30 13:45:00,2026-04-30 14:15:00,EURUSD,BUY,win,1.3043,9.15,11.89,1
2026-05-04,2026-05-04 14:45:00,2026-05-04 16:00:00,EURUSD,SELL,win,1.3043,11.89,15.46,1
2026-05-05,2026-05-05 13:45:00,2026-05-05 14:00:00,EURUSD,SELL,loss,-1.0,15.46,11.91,1
2026-05-06,2026-05-06 14:00:00,2026-05-06 14:30:00,EURUSD,SELL,loss,-1.0,11.91,9.17,1
2026-05-07,2026-05-07 13:45:00,2026-05-07 14:45:00,EURUSD,SELL,loss,-1.0,9.17,7.06,1
2026-05-08,2026-05-08 14:00:00,2026-05-08 20:00:00,EURUSD,SELL,timeout,-0.6542,7.06,6.0,1
2026-05-11,2026-05-11 13:45:00,2026-05-11 14:45:00,EURUSD,BUY,loss,-1.0,6.0,4.62,1
2026-05-12,2026-05-12 13:45:00,2026-05-12 13:45:00,EURUSD,SELL,win,1.3043,4.62,6.0,1
2026-05-13,2026-05-13 13:45:00,2026-05-13 14:45:00,EURUSD,BUY,loss,-1.0,6.0,4.62,1
2026-05-14,2026-05-14 13:45:00,2026-05-14 14:45:00,EURUSD,BUY,loss,-1.0,4.62,3.56,1
2026-05-15,2026-05-15 13:45:00,2026-05-15 14:00:00,EURUSD,SELL,loss,-1.0,3.56,2.74,1
2026-05-18,2026-05-18 13:45:00,2026-05-18 14:00:00,EURUSD,BUY,loss,-1.0,2.74,2.11,1
2026-05-19,2026-05-19 13:45:00,2026-05-19 14:15:00,EURUSD,BUY,loss,-1.0,2.11,1.62,1
2026-05-21,2026-05-21 13:45:00,2026-05-21 17:15:00,EURUSD,BUY,win,1.3043,1.62,2.11,1
2026-05-22,2026-05-22 13:45:00,2026-05-22 14:00:00,EURUSD,SELL,win,1.3043,2.11,2.75,1
2026-05-25,2026-05-25 13:45:00,2026-05-25 14:30:00,EURUSD,SELL,loss,-1.0,2.75,2.11,1
2026-05-29,2026-05-29 13:45:00,2026-05-29 14:15:00,EURUSD,SELL,win,1.3043,2.11,2.75,1
2026-06-01,2026-06-01 13:45:00,2026-06-01 14:00:00,EURUSD,SELL,win,1.3043,2.75,3.57,1
2026-06-02,2026-06-02 13:45:00,2026-06-02 14:00:00,EURUSD,SELL,win,1.3043,3.57,4.64,1
2026-06-03,2026-06-03 13:45:00,2026-06-03 14:00:00,EURUSD,SELL,loss,-1.0,4.64,3.58,1
2026-06-04,2026-06-04 13:45:00,2026-06-04 14:00:00,EURUSD,BUY,loss,-1.0,3.58,2.75,1
2026-06-05,2026-06-05 13:45:00,2026-06-05 14:00:00,EURUSD,SELL,win,1.3043,2.75,3.58,1
2026-06-08,2026-06-08 13:45:00,2026-06-08 14:15:00,EURUSD,SELL,win,1.3043,3.58,4.65,1
2026-06-09,2026-06-09 13:45:00,2026-06-09 14:00:00,EURUSD,BUY,loss,-1.0,4.65,3.58,1
2026-06-10,2026-06-10 13:45:00,2026-06-10 14:15:00,EURUSD,BUY,loss,-1.0,3.58,2.76,1
2026-06-11,2026-06-11 13:45:00,2026-06-11 14:00:00,EURUSD,BUY,loss,-1.0,2.76,2.12,1
2026-06-12,2026-06-12 14:45:00,2026-06-12 20:00:00,EURUSD,BUY,timeout,-0.6299,2.12,1.82,1
2026-06-15,2026-06-15 14:00:00,2026-06-15 15:15:00,EURUSD,SELL,win,1.3043,1.82,2.36,1
2026-06-16,2026-06-16 13:45:00,2026-06-16 14:00:00,EURUSD,SELL,win,1.3043,2.36,3.07,1
2026-06-17,2026-06-17 13:45:00,2026-06-17 14:00:00,EURUSD,BUY,loss,-1.0,3.07,2.36,1
2026-06-18,2026-06-18 14:00:00,2026-06-18 14:45:00,EURUSD,SELL,loss,-1.0,2.36,1.82,1
