month,return_pct,ending_balance,trades,wins,losses,breakeven,net_profit,net_win_rate,net_pf,average_win,average_loss,largest_win,largest_loss,max_loss_streak,commission,swap,fee,longs,shorts
2021.09,-0.4536,9954.64,8,3,5,0,-45.36,37.5,0.734255082312965,41.776666666666664,-34.138,93.11,-38.14,2,-3.2,-8.56,0.0,8,0
2021.10,0.6310624994977218,10017.46,14,6,8,0,62.82,42.857142857142854,1.2442647173186094,53.333333333333336,-32.1475,99.64,-43.23,2,-5.93,-36.37,0.0,14,0
2021.11,1.5548851704923206,10173.22,15,7,8,0,155.76,46.666666666666664,1.842219098085866,48.67142857142858,-23.1175,97.29,-46.76,3,-6.19,-26.71,0.0,15,0
2021.12,-0.4505947969276198,10127.38,8,4,4,0,-45.84,50.0,0.567995476392423,15.0675,-26.5275,17.41,-35.0,2,-2.99,-9.63,0.0,8,0
2022.01,1.2401035608419948,10252.97,11,5,6,0,125.59,45.45454545454545,2.192234668691855,46.186,-17.55666666666667,98.68,-31.92,4,-4.82,-17.64,0.0,11,0
2022.02,3.522393999007117,10614.119999999999,19,9,10,0,361.15,47.36842105263158,2.31489841986456,70.64555555555555,-27.465999999999998,102.58,-53.15,4,-7.43,-45.99,0.0,19,0
2022.03,-1.7562454541685981,10427.71,13,3,10,0,-186.41,23.076923076923077,0.45332707704038233,51.526666666666664,-34.099000000000004,121.5,-64.44,5,-3.39,-18.68,0.0,13,0
2022.04,0.8310549487854957,10514.369999999999,9,4,5,0,86.66,44.44444444444444,1.568933823529412,59.745000000000005,-30.464,116.59,-48.3,3,-3.16,-9.08,0.0,9,0
2022.05,-0.7943414584040699,10430.849999999999,11,4,7,0,-83.52,36.36363636363637,0.6130108423686405,33.074999999999996,-30.83142857142857,85.74,-40.66,4,-3.5,-17.63,0.0,11,0
2022.06,-0.975855275456938,10329.059999999998,7,1,6,0,-101.79,14.285714285714286,0.13362839390586434,15.7,-19.581666666666667,15.7,-39.03,5,-2.32,-17.65,0.0,7,0
2022.07,-0.3562763697761462,10292.259999999998,4,2,2,0,-36.8,50.0,0.4733829421866056,16.54,-34.94,17.82,-35.08,2,-1.72,0.0,0.0,4,0
2022.08,-0.8936812711688202,10200.279999999999,8,1,7,0,-91.98,12.5,0.5134363097757089,97.06,-27.005714285714284,97.06,-37.99,7,-2.83,-25.65,0.0,8,0
2022.09,-1.4615285070605908,10051.199999999999,9,3,6,0,-149.08,33.333333333333336,0.2534054487179487,16.866666666666664,-33.28,17.83,-34.6,3,-3.6,0.0,0.0,9,0
